Included,Name,Label,Last EVS,Last WVS,
1,A001,Important in life: Family,EVS 2008 ,WVS6 (2010-2012),
1,A002,Important in life: Friends,EVS 2008 ,WVS6 (2010-2012),
0,A003,Important in life: Leisure time,EVS 2008 ,WVS6 (2010-2012),
0,A004,Important in life: Politics,EVS 2008 ,WVS6 (2010-2012),
1,A005,Important in life: Work,EVS 2008 ,WVS6 (2010-2012),
0,A006,Important in life: Religion,EVS 2008 ,WVS6 (2010-2012),
0,A007,Service to others important in life,EVS 1999  ,#N/A,
0,A008,Feeling of happiness,EVS 2008 ,WVS6 (2010-2012),
1,A009,State of health (subjective),EVS 2008 ,WVS6 (2010-2012),
0,A010,Ever felt very excited or interested,EVS 1990        ,#N/A,
0,A011,Ever felt restless,EVS 1990        ,#N/A,
0,A012,Ever felt proud because someone complimented you,EVS 1990        ,#N/A,
0,A013,Ever felt very lonely or remote from other people,EVS 1990        ,#N/A,
0,A014,Ever felt pleased about having accomplished something,EVS 1990        ,#N/A,
0,A015,Ever felt bored,EVS 1990        ,#N/A,
0,A016,Ever felt on top of the world,EVS 1990        ,#N/A,
0,A017,Ever felt depressed or very unhappy,EVS 1990        ,#N/A,
0,A018,Ever felt that things were going your way,EVS 1990        ,#N/A,
0,A019,Ever felt upset because somebody criticized you,EVS 1990        ,#N/A,
0,A020,"When you are home, do you feel relaxed",EVS 1981             ,#N/A,
0,A021,"When you are home, do you feel anxious",EVS 1981             ,#N/A,
0,A022,"When you are home, do you feel happy",EVS 1981             ,#N/A,
0,A023,"When you are home, do you feel aggressive",EVS 1981             ,#N/A,`
0,A024,"When you are home, do you feel secure",EVS 1981             ,#N/A,
0,A025,Respect and love for parents,EVS 2008 ,#N/A,
0,A026,Parents responsibilities to their children,EVS 2008 ,#N/A,
0,a026_01,Children responsibilities to their parents in need at expense of/not sacrifice own well-being,EVS 2008 ,#N/A,
0,A027,Important child qualities: good manners,EVS 2008 ,#N/A,
0,A028,Important child qualities: politeness and neatness,EVS 1981             ,#N/A,
1,A029,Important child qualities: independence,EVS 2008 ,WVS6 (2010-2012),
0,A030,Important child qualities: hard work,EVS 2008 ,WVS6 (2010-2012),
0,A031,Important child qualities: honesty,EVS 1981             ,#N/A,
1,A032,Important child qualities: feeling of responsibility,EVS 2008 ,WVS6 (2010-2012),
0,A033,Important child qualities: patience,EVS 1981             ,#N/A,
0,A034,Important child qualities: imagination,EVS 2008 ,WVS6 (2010-2012),
0,A035,Important child qualities: tolerance and respect for other people,EVS 2008 ,WVS6 (2010-2012),
0,A036,Important child qualities: leadership,EVS 1981             ,#N/A,
0,A037,Important child qualities: self-control,EVS 1981             ,#N/A,
0,A038,Important child qualities: thrift saving money and things,EVS 2008 ,WVS6 (2010-2012),
0,A039,Important child qualities: determination perseverance,EVS 2008 ,WVS6 (2010-2012),
0,A040,Important child qualities: religious faith,EVS 2008 ,WVS6 (2010-2012),
0,A041,Important child qualities: unselfishness,EVS 2008 ,WVS6 (2010-2012),
1,A042,Important child qualities: obedience,EVS 2008 ,WVS6 (2010-2012),
0,A043,Important child qualities: loyalty,EVS 1981             ,#N/A,
0,a043_01,Important child qualities: none,EVS 2008 ,#N/A,
0,a043_01f,Flag variable: learn children at home: none,EVS 2008 ,#N/A,
0,a043_f,Flag variable: learn children at home,EVS 2008 ,#N/A,
0,A043B,Important child qualities: Self-expression,#N/A,WVS6 (2010-2012),
0,A044,What children should learn 1,#N/A,#N/A,
0,A045,What children should learn 2,#N/A,#N/A,
0,A046,Abortion when the mothers health is at risk,EVS 1990        ,#N/A,
0,A047,Abortion when child physically handicapped,EVS 1990        ,#N/A,
0,A048,Abortion when woman not married,EVS 2008 ,#N/A,
0,A049,Abortion if not wanting more children,EVS 2008 ,#N/A,
0,A050,Way of spending leisure time,EVS 1981             ,#N/A,
0,a050_01,Leisure time: meeting nice people,EVS 2008 ,#N/A,
0,a050_02,Leisure time: relaxing,EVS 2008 ,#N/A,
0,a050_03,Leisure time: doing as I want,EVS 2008 ,#N/A,
0,a050_04,Leisure time: learning something new,EVS 2008 ,#N/A,
0,A051,Spend leisure time: alone,EVS 1981             ,#N/A,
0,A052,Spend leisure time: with family,EVS 1981             ,#N/A,
0,A053,Spend leisure time: with friends,EVS 1981             ,#N/A,
0,A054,Spend leisure time: in a lively place,EVS 1981             ,#N/A,
0,A055,Spend leisure time: all equally,EVS 1981             ,#N/A,
0,A056,Spend leisure time with: don’t know,EVS 1981             ,#N/A,
0,A057,Spend time with parents or other relatives,#N/A,#N/A,
0,A058,Spend time with friends,EVS 1999  ,#N/A,
0,A059,Spend time with colleagues from work,EVS 1999  ,#N/A,
0,A060,"Spend time with people at your church, mosque or synagogue",EVS 1999  ,#N/A,
0,A061,"Spend time with people at sport, culture, communal organization",EVS 1999  ,#N/A,
0,A062,How often discusses political matters with friends,EVS 2008 ,#N/A,
0,A063,"Persuading friends, relatives or fellow workers",EVS 1990        ,#N/A,
0,A064,Member: Belong to social welfare service for elderly,EVS 2008 ,#N/A,
1,A065,Member: Belong to religious organization,EVS 2008 ,#N/A,
0,A066,"Member: Belong to education, arts, music or cultural activities",EVS 2008 ,#N/A,
0,A067,Member: Belong to labour unions,EVS 2008 ,#N/A,
0,A068,Member: Belong to political parties,EVS 2008 ,#N/A,
0,A069,Member: Belong to local political actions,EVS 2008 ,#N/A,
0,A070,Member: Belong to human rights,EVS 2008 ,#N/A,
0,A071,"Member: Belong to conservation, the environment, ecology, animal rights",EVS 2008 ,#N/A,
0,A071B,"Member: Belong to conservation, the environment, ecology",EVS 1990        ,#N/A,
0,A071C,Member: Belong to animal rights,EVS 1990        ,#N/A,
0,A072,Member: Belong to professional associations,EVS 2008 ,#N/A,
0,A073,Member: Belong to youth work,EVS 2008 ,#N/A,
1,A074,Member: Belong to sports or recreation,EVS 2008 ,#N/A,
0,A075,Member: Belong to women´s group,EVS 2008 ,#N/A,
0,A076,Member: Belong to peace movement,EVS 2008 ,#N/A,
0,A077,Member: Belong to organization concerned with health,EVS 2008 ,#N/A,
