countrycode,adm_area_1,adm_area_2,adm_area_3,nuts1,nuts2,nuts3,gid
ITA,Abruzzo,,,ITF,ITF1,ITF1,ITA.1_1
ITA,Apulia,,,ITF,ITF4,ITF4,ITA.2_1
ITA,Basilicata,,,ITF,ITF5,ITF5,ITA.3_1
ITA,Bolzano,,,ITH,ITH1,ITH1,ITA.17.1_1
ITA,Calabria,,,ITF,ITF6,ITF6,ITA.4_1
ITA,Campania,,,ITF,ITF3,ITF3,ITA.5_1
ITA,Emilia-Romagna,,,ITH,ITH5,ITH5,ITA.6_1
ITA,Friuli-Venezia Giulia,,,ITH,ITH4,ITH4,ITA.7_1
ITA,Lazio,,,ITI,ITI4,ITI4,ITA.8_1
ITA,Liguria,,,ITC,ITC3,ITC3,ITA.9_1
ITA,Lombardia,,,ITC,ITC4,ITC4,ITA.10_1
ITA,Marche,,,ITI,ITI3,ITI3,ITA.11_1
ITA,Molise,,,ITF,ITF2,ITF2,ITA.12_1
ITA,Piemonte,,,ITC,ITC1,ITC1,ITA.13_1
ITA,Sardegna,,,ITG,ITG2,ITG2,ITA.14_1
ITA,Sicily,,,ITG,ITG1,ITG1,ITA.15_1
ITA,Toscana,,,ITI,ITI1,ITI1,ITA.16_1
ITA,Trento,,,ITH,ITH2,ITH2,ITA.17.2_1
ITA,Umbria,,,ITI,ITI2,ITI2,ITA.18_1
ITA,Valle d'Aosta,,,ITC,ITC2,ITC2,ITA.19_1
ITA,Veneto,,,ITH,ITH3,ITH3,ITA.20_1
DEU,Baden-Württemberg,,,DE1,DE1,DE1,DEU.1_1
DEU,Bayern,,,DE2,DE2,DE2,DEU.2_1
DEU,Berlin,,,DE3,DE3,DE3,DEU.3_1
DEU,Brandenburg,,,DE4,DE4,DE4,DEU.4_1
DEU,Bremen,,,DE5,DE5,DE5,DEU.5_1
DEU,Hamburg,,,DE6,DE6,DE6,DEU.6_1
DEU,Hessen,,,DE7,DE7,DE7,DEU.7_1
DEU,Mecklenburg-Vorpommern,,,DE8,DE8,DE8,DEU.8_1
DEU,Niedersachsen,,,DE9,DE9,DE9,DEU.9_1
DEU,Nordrhein-Westfalen,,,DEA,DEA,DEA,DEU.10_1
DEU,Rheinland-Pfalz,,,DEB,DEB,DEB,DEU.11_1
DEU,Saarland,,,DEC,DEC,DEC,DEU.12_1
DEU,Sachsen,,,DED,DED,DED,DEU.14_1
DEU,Sachsen-Anhalt,,,DEE,DEE,DEE,DEU.13_1
DEU,Schleswig-Holstein,,,DEF,DEF,DEF,DEU.15_1
DEU,Thüringen,,,DEG,DEG,DEG,DEU.16_1
