"countrycode","country","SH.MED.BEDS.ZS","SH.MED.PHYS.ZS","SH.MED.NUMW.P3","SH.UHC.SRVS.CV.XD","SH.XPD.CHEX.GD.ZS","SH.XPD.CHEX.PC.CD","SH.XPD.CHEX.PP.CD","SH.XPD.OOPC.CH.ZS","SH.XPD.OOPC.PC.CD","SH.XPD.OOPC.PP.CD","SH.STA.DIAB.ZS","SP.DYN.LE00.FE.IN","SP.DYN.LE00.IN","SP.DYN.LE00.MA.IN","SP.DYN.AMRT.FE","SP.DYN.AMRT.MA","SH.DYN.NCOM.ZS","SH.DYN.NCOM.FE.ZS","SH.DYN.NCOM.MA.ZS","SH.DTH.COMM.ZS","SH.DTH.INJR.ZS","SH.DTH.NCOM.ZS","SH.H2O.BASW.ZS","SH.H2O.BASW.UR.ZS","SH.H2O.BASW.RU.ZS","SH.STA.BASS.ZS","SH.STA.BASS.UR.ZS","SH.STA.BASS.RU.ZS","SP.POP.80UP.FE.5Y","SP.POP.80UP.MA.5Y","SP.POP.65UP.FE.ZS","SP.POP.65UP.MA.ZS","SP.POP.65UP.TO.ZS","SP.POP.0014.FE.ZS","SP.POP.0014.MA.ZS","SP.POP.0014.TO.ZS","SP.POP.1564.FE.ZS","SP.POP.1564.MA.ZS","SP.POP.1564.TO.ZS","EN.POP.DNST","SP.RUR.TOTL.ZS","SP.URB.TOTL.IN.ZS","NY.GDP.FCST.CD","NY.GDP.PCAP.CD","covid19_deaths_per_100k","in_high","in_medium","in_low"
"AFG","Afghanistan",0.5,0.2782,0.1755,37,11.7771938443184,67.1226501464844,174.73063659668,75.482577085495,50.6659126281738,132.750457763672,9.2,66.026,64.486,63.047,192.532,237.554,29.8,27.7,31.8,36.4,19.5,44.1,67.0646234205214,95.9087428631025,57.3212921179853,43.4176100145511,62.2614377318993,37.0523036711377,0.322093255034699,0.23277847150654,2.88223387710586,2.36315643326709,2.61579421390507,42.5967924641436,42.3542018790124,42.4722713889586,54.5209736587505,55.2826416877205,54.9119343971364,56.937760009803,74.246,25.754,18204988943.6931,502.115486913067,3.69593894119603,FALSE,FALSE,TRUE
"AGO","Angola",0.8,0.2146,0.4075,40,2.79150027781725,114.45964050293,185.854034423828,34.1210126876831,39.0547943115234,63.415283203125,4.5,63.666,60.782,58.064,220.291,327.044,16.5,16,17.2,63.4,9.2,27.4,55.8429048722414,71.2429565218332,27.4442923016968,49.8769787577501,64.3256498006045,23.2327684619097,0.334603607346031,0.201463608984286,2.41000291035365,1.9842196578307,2.19934175001363,45.9657150390659,47.2923627572035,46.6220250275763,51.6242820505804,50.7234175849658,51.17863322241,24.7130520574316,33.823,66.177,99286446046.5,2973.59115979868,0.336210552015307,FALSE,FALSE,TRUE
"ARG","Argentina",5,3.9901,2.5996,76,9.12431478500366,1324.603515625,1916.50415039063,15.0185272097588,198.935943603516,287.830688476563,5.9,79.863,76.52,73.082,79.483,147.086,15.8,12.2,19.7,15.9,6.5,77.6,99.078374648261,99.6353228779752,92.9836600501062,94.2585054176821,95.8562321549307,76.774394263034,3.46012469451935,1.77314977074516,12.9789147513913,9.42020926757722,11.2431082719004,23.5659563560464,25.6767613270477,24.5955258782711,63.4551288925624,64.9030294053751,64.1613658498285,16.2585100979651,8.009,91.991,377532742734.366,10006.1489736082,18.9101992954315,FALSE,TRUE,FALSE
"ARM","Armenia",4.2,4.4023,6.107,69,10.3627048432827,407.635864257813,1001.06903076172,84.348076581955,343.832977294922,844.382507324219,6.1,78.354,74.945,71.215,65.595,173.428,22.3,15,30.9,2.8,3.9,93.3,99.9133765368804,99.8627268754811,100,93.6423072695355,99.7389232843522,83.2155842091337,3.86789568064022,2.44726217575465,13.1788958408742,9.57478388435306,11.4836677169087,18.3856072836889,23.446148803718,20.7659520084822,68.4354968754369,66.9790673119289,67.7503802746092,103.680224798033,36.781,63.219,12121772498.044,4622.73349328671,29.7187269565758,FALSE,TRUE,FALSE
"AUT","Austria",7.6,5.1697,7.0899,79,10.3966169059277,4939.87548828125,5617.396484375,19.2032665014267,948.617431640625,1078.72351074219,6.6,84.1,81.6926829268293,79.4,41.779,79.032,11.4,8.5,14.4,2.6,5.2,92.2,100,100,100,99.9729096123263,99.9533680135601,100,6.60266078392724,4.01664179544516,21.2693324369606,16.8133841946033,19.0756062856682,13.7110931406367,15.0329751575051,14.361857631549,65.0195744224028,68.1536406478916,66.5625360827828,107.127966860564,41.485,58.515,398978420371.372,50277.2750874213,8.25723180865933,TRUE,FALSE,FALSE
"AZE","Azerbaijan",4.7,3.446,6.4338,65,6.65182918310165,275.809356689453,1163.86193847656,83.8561415672302,231.283081054688,975.969787597656,6.1,75.336,72.864,70.345,89.073,149.499,22.2,16.1,28.7,8.8,4.6,86.6,91.3857399436573,99.3052806509215,81.571128383976,92.5114453471259,96.4432786282146,87.6387617158749,1.7471583710677,0.976328163970339,7.49353373536955,5.39587235143747,6.4463891203953,21.8357931471009,25.0532413951498,23.4419198468747,70.6706731175295,69.5508862534127,70.11169103273,120.23431716463,43.969,56.031,43860470588.2353,4793.58701966989,5.3275771555886,FALSE,TRUE,FALSE
"BDI","Burundi",0.8,0.1001,0.8526,42,7.51757025718689,23.5004329681396,59.188663482666,25.4629760980606,5.98391008377075,15.0711965560913,5.1,63.031,61.247,59.435,253.135,310.651,22.9,22.7,23.1,55.8,12.1,32.1,60.8305489209566,89.76972567577,56.6183336001938,45.8212048667364,41.7032468245098,46.4205911725319,0.348785848414263,0.221035609796698,2.56370503832945,2.05636032109177,2.31209531524,44.71651384845,46.0958652125166,45.4006476690678,52.7197811132205,51.8477744663916,52.2872570156922,435.178271028037,86.634,13.366,2644778436.36267,261.247472515742,0.00867259062423573,FALSE,FALSE,TRUE
"BEL","Belgium",6.2,3.0709,19.4614,84,10.338669270277,4507.3564453125,5119.07470703125,17.6382228732109,795.017578125,902.913818359375,4.6,83.9,81.5951219512195,79.4,49.245,80.262,11.4,8.6,14.1,7.9,6.4,85.7,100.000003337637,100,100,99.486060200783,99.486125385406,99.4827656473256,7.10662102145097,4.28242842178007,21.1183992990894,16.850749166722,19.0065660669321,16.3925202566231,17.7377348319061,17.0582030426729,62.4890804442876,65.411516001372,63.935230890395,377.379590488771,1.959,98.041,472389920432.156,46116.69923368,86.162945057299,TRUE,FALSE,FALSE
"BEN","Benin",0.5,0.0791,0.3888,40,3.71858216822147,30.7664470672607,84.6509857177734,44.979926943779,13.8387269973755,38.0759544372559,1,63.003,61.47,59.914,211.008,258.647,19.6,19.3,19.9,54.1,10.2,35.7,66.4147253381272,75.7461755777649,58.216399404835,16.4529205701784,26.5050695879069,7.6214107982782,0.537285349401301,0.331576152861122,3.73625927364192,2.79198527444742,3.26488492520772,41.5281151357173,42.8850825698289,42.2055187667711,54.7356255906408,54.3229321557237,54.5295963080211,101.853919829727,52.139,47.861,13126511803.5573,1219.43267185875,0.338949988861256,FALSE,FALSE,TRUE
"BFA","Burkina Faso",0.4,0.0847,0.8829,40,6.91505968570709,44.403491973877,129.064270019531,31.6775947809219,14.0659589767456,40.8844604492188,7.3,61.863,61.174,60.361,228.16,260.379,21.7,21.2,22.5,56.3,11,32.7,47.8881273382888,79.8640679936693,34.9899638562062,19.4020870942332,39.3788255520362,11.3440524223371,0.305899312623475,0.17330894440495,2.91736197056521,1.89592318472997,2.40728753729201,43.8268170125272,45.5310001976788,44.6778215532431,53.2558210169076,52.5730766175912,52.9148909094649,72.1912828947368,70.02,29.98,13638803270.2919,774.8396902346,0.270650937155935,FALSE,FALSE,TRUE
