Country code,Country ISO,EVS waves,WVS waves
56,BEL,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
124,CAN,['1981-1984' '1990-1993'],['1999-2004' '2005-2009']
208,DNK,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
250,FRA,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['2005-2009']
276,DEU,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009' '2010-2014']
352,ISL,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
372,IRL,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
380,ITA,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['2005-2009']
470,MLT,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
528,NLD,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['2005-2009' '2010-2014']
578,NOR,['1981-1984' '1990-1993' '2008-2010'],['1994-1998' '2005-2009']
724,ESP,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
752,SWE,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1981-1984' '1994-1998' '2005-2009' '2010-2014']
826,GBR,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009']
840,USA,['1981-1984' '1990-1993'],['1981-1984' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
909,Nan,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
40,AUT,['1990-1993' '1999-2001' '2008-2010'],[]
100,BGR,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009']
203,CZE,['1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998']
233,EST,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2010-2014']
246,FIN,['1990-1993' '1999-2001' '2008-2010'],['1981-1984' '1994-1998' '2005-2009']
348,HUN,['1990-1993' '1999-2001' '2008-2010'],['1981-1984' '1994-1998' '2005-2009']
428,LVA,['1990-1993' '1999-2001' '2008-2010'],['1994-1998']
440,LTU,['1990-1993' '1999-2001' '2008-2010'],['1994-1998']
616,POL,['1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998' '2005-2009' '2010-2014']
620,PRT,['1990-1993' '1999-2001' '2008-2010'],[]
642,ROU,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009' '2010-2014']
703,SVK,['1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998']
705,SVN,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009' '2010-2014']
112,BLR,['1999-2001' '2008-2010'],['1989-1993' '1994-1998' '2010-2014']
191,HRV,['1999-2001' '2008-2010'],['1994-1998']
300,GRC,['1999-2001' '2008-2010'],[]
442,LUX,['1999-2001' '2008-2010'],[]
