Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,NaN,1960.0,AFG
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,74.505,2018.0,AFG
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860.0,2018.0,AFG
Albania,ALB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,26686.71094,2010.0,ALB
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,39.681,2018.0,ALB
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750.0,2018.0,ALB
Algeria,DZA,Rural land area (sq. km),AG.LND.TOTL.RU.K2,2285675.75,2010.0,DZA
Algeria,DZA,Rural population (% of total population),SP.RUR.TOTL.ZS,27.371,2018.0,DZA
Algeria,DZA,Surface area (sq. km),AG.SRF.TOTL.K2,2381740.0,2018.0,DZA
American Samoa,ASM,Rural land area (sq. km),AG.LND.TOTL.RU.K2,87.64226532,2010.0,ASM
American Samoa,ASM,Rural population (% of total population),SP.RUR.TOTL.ZS,12.847000000000001,2018.0,ASM
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200.0,2018.0,ASM
Andorra,AND,Rural land area (sq. km),AG.LND.TOTL.RU.K2,NaN,1960.0,AND
Andorra,AND,Rural population (% of total population),SP.RUR.TOTL.ZS,11.937999999999999,2018.0,AND
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,470.0,2018.0,AND
Angola,AGO,Rural land area (sq. km),AG.LND.TOTL.RU.K2,1248198.625,2010.0,AGO
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,34.486,2018.0,AGO
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,1246700.0,2018.0,AGO
Antigua and Barbuda,ATG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,167.8600616,2010.0,ATG
