Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,3322180000.0,2018.0,AFG
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0,AFG
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,62.3,2018.0,AFG
Afghanistan,AFG,Net migration,SM.POP.NETM,-314602.0,2017.0,AFG
Afghanistan,AFG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,2018.0,AFG
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.63602,2018.0,AFG
Afghanistan,AFG,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,79.726001739502,2019.0,AFG
Albania,ALB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,181000000.0,2018.0,ALB
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,7.5,2017.0,ALB
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.8,2018.0,ALB
Albania,ALB,Net migration,SM.POP.NETM,-69998.0,2017.0,ALB
Albania,ALB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,NaN,1960.0,ALB
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.0173,2018.0,ALB
Albania,ALB,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,52.851999282837,2019.0,ALB
Algeria,DZA,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,79510000.0,2018.0,DZA
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,9.4,2011.0,DZA
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.5,2018.0,DZA
Algeria,DZA,Net migration,SM.POP.NETM,-50002.0,2017.0,DZA
Algeria,DZA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,2018.0,DZA
Algeria,DZA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.9949,2011.0,DZA
Algeria,DZA,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,26.992999196052605,2019.0,DZA
American Samoa,ASM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,NaN,1960.0,ASM
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NaN,1960.0,ASM
American Samoa,ASM,Net migration,SM.POP.NETM,NaN,1960.0,ASM
