Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,2017.0,AFG
Afghanistan,AFG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.503629381060578,2014.0,AFG
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,56.910808354508106,2017.0,AFG
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.38476110022344,2018.0,AFG
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386.0,2018.0,AFG
Afghanistan,AFG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,NaN,1960.0,AFG
Afghanistan,AFG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,19.1,2018.0,AFG
Afghanistan,AFG,Urban population,SP.URB.TOTL,9477100.0,2018.0,AFG
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.495,2018.0,AFG
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.3503829762449504,2018.0,AFG
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017.0,ALB
Albania,ALB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.4483626754364579,2014.0,ALB
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.2006025215914,2017.0,ALB
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.246732042281782,2018.0,ALB
Albania,ALB,"Population, total",SP.POP.TOTL,2866376.0,2018.0,ALB
Albania,ALB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,1.7,2017.0,ALB
Albania,ALB,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,1.5,2017.0,ALB
Albania,ALB,Urban population,SP.URB.TOTL,1728969.0,2018.0,ALB
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.318999999999996,2018.0,ALB
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,1.31716210445698,2018.0,ALB
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017.0,DZA
Algeria,DZA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.794437962092412,2014.0,DZA
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,38.8840106983002,2017.0,DZA
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2.0073738300081203,2018.0,DZA
Algeria,DZA,"Population, total",SP.POP.TOTL,42228429.0,2018.0,DZA
Algeria,DZA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.5,2011.0,DZA
Algeria,DZA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,3.0,2012.0,DZA
Algeria,DZA,Urban population,SP.URB.TOTL,30670086.0,2018.0,DZA
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.62899999999999,2018.0,DZA
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,2.80499567674668,2018.0,DZA
