Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,AFG
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,16916992771.6571,2017.0,AFG
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,37680.8181245105,2018.0,AFG
Albania,ALB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.58516866109728,2017.0,ALB
Albania,ALB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11795973483.1559,2017.0,ALB
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,568978.734820554,2018.0,ALB
Algeria,DZA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.712167276023351,2017.0,DZA
Algeria,DZA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,134832633155.502,2017.0,DZA
Algeria,DZA,GDP per capita (current LCU),NY.GDP.PCAP.CN,479750.26492224,2018.0,DZA
American Samoa,ASM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,ASM
American Samoa,ASM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0,ASM
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,11466.6907058505,2018.0,ASM
Andorra,AND,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,AND
Andorra,AND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0,AND
Andorra,AND,GDP per capita (current LCU),NY.GDP.PCAP.CN,35607.6149910397,2018.0,AND
Angola,AGO,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.31026931486067605,2017.0,AGO
Angola,AGO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,64054513749.1511,2017.0,AGO
Angola,AGO,GDP per capita (current LCU),NY.GDP.PCAP.CN,867898.297948553,2018.0,AGO
Antigua and Barbuda,ATG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,ATG
Antigua and Barbuda,ATG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0,ATG
Antigua and Barbuda,ATG,GDP per capita (current LCU),NY.GDP.PCAP.CN,45162.848181459405,2018.0,ATG
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.66876884332071,2017.0,ARG
Argentina,ARG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,544653785578.1,2017.0,ARG
Argentina,ARG,GDP per capita (current LCU),NY.GDP.PCAP.CN,328260.56461987103,2018.0,ARG
Armenia,ARM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,10.1328496793909,2017.0,ARM
Armenia,ARM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10047924327.4671,2017.0,ARM
Armenia,ARM,GDP per capita (current LCU),NY.GDP.PCAP.CN,2034388.14462886,2018.0,ARM
Aruba,ABW,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,ABW
Aruba,ABW,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2253299500.11,2017.0,ABW
Aruba,ABW,GDP per capita (current LCU),NY.GDP.PCAP.CN,45878.177021050404,2017.0,ABW
Australia,AUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.432565154093821,2017.0,AUS
Australia,AUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1020718298802.3,2017.0,AUS
Australia,AUS,GDP per capita (current LCU),NY.GDP.PCAP.CN,74017.7931911937,2018.0,AUS
Austria,AUT,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.6817576113514598,2017.0,AUT
Austria,AUT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,340888011113.487,2017.0,AUT
Austria,AUT,GDP per capita (current LCU),NY.GDP.PCAP.CN,43597.866720801605,2018.0,AUT
Azerbaijan,AZE,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.5356368235907099,2012.0,AZE
Azerbaijan,AZE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,31007235435.8781,2017.0,AZE
