Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,26.766,1993.0,AFG
Afghanistan,AFG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,13.69764,1993.0,AFG
Afghanistan,AFG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,38.79503,1993.0,AFG
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,43.01972,2018.0,AFG
Albania,ALB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,97.44221,2018.0,ALB
Albania,ALB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,97.16724,2013.0,ALB
Albania,ALB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,93.89331999999999,2013.0,ALB
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,98.14115,2018.0,ALB
Algeria,DZA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.6475,2018.0,DZA
Algeria,DZA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,96.48156,2008.0,DZA
Algeria,DZA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,98.02377,2008.0,DZA
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,81.40784000000001,2018.0,DZA
American Samoa,ASM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,NaN,1960.0,ASM
American Samoa,ASM,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,NaN,1960.0,ASM
American Samoa,ASM,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,NaN,1960.0,ASM
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,97.34416,1980.0,ASM
Andorra,AND,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,NaN,1960.0,AND
Andorra,AND,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,NaN,1960.0,AND
Andorra,AND,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,NaN,1960.0,AND
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NaN,1960.0,AND
Angola,AGO,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,81.59926999999999,2011.0,AGO
Angola,AGO,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,71.48141,2011.0,AGO
Angola,AGO,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,91.84196999999999,2011.0,AGO
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,66.03011,2014.0,AGO
Antigua and Barbuda,ATG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.3101,2018.0,ATG
Antigua and Barbuda,ATG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,98.69226,2017.0,ATG
Antigua and Barbuda,ATG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,96.43519,2017.0,ATG
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,98.95,2015.0,ATG
Argentina,ARG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.48052,2017.0,ARG
Argentina,ARG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,96.00714,1991.0,ARG
Argentina,ARG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,96.34115,1991.0,ARG
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.00386999999999,2018.0,ARG
Armenia,ARM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,90.84299999999999,2018.0,ARM
Armenia,ARM,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,90.65059000000001,2018.0,ARM
Armenia,ARM,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,91.01168,2018.0,ARM
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.73607,2017.0,ARM
Aruba,ABW,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.29199,2014.0,ABW
Aruba,ABW,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,97.82105,2009.0,ABW
Aruba,ABW,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,94.25859,2009.0,ABW
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,97.80742,2018.0,ABW
Australia,AUS,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,96.4991,2017.0,AUS
Australia,AUS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,96.87867,2017.0,AUS
Australia,AUS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,96.13913000000001,2017.0,AUS
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NaN,1960.0,AUS
Austria,AUT,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,88.64471,2017.0,AUT
Austria,AUT,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,89.72229,2016.0,AUT
Austria,AUT,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,88.07563,2016.0,AUT
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NaN,1960.0,AUT
Azerbaijan,AZE,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,92.61575,2018.0,AZE
Azerbaijan,AZE,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,92.43446,2018.0,AZE
Azerbaijan,AZE,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,92.7713,2018.0,AZE
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.79123,2017.0,AZE
"Bahamas, The",BHS,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,74.38987,2018.0,BHS
"Bahamas, The",BHS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,75.33159,2018.0,BHS
"Bahamas, The",BHS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,73.45976999999999,2018.0,BHS
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NaN,1960.0,BHS
Bahrain,BHR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,98.10484,2018.0,BHR
Bahrain,BHR,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,97.19373,2018.0,BHR
Bahrain,BHR,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,99.00458,2018.0,BHR
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,97.46419,2018.0,BHR
Bangladesh,BGD,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,94.9566,2010.0,BGD
Bangladesh,BGD,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,96.95468000000001,2008.0,BGD
Bangladesh,BGD,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,94.54157,2008.0,BGD
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,73.9122,2018.0,BGD
Barbados,BRB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,98.38821,2018.0,BRB
Barbados,BRB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,97.52594,2018.0,BRB
Barbados,BRB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,99.22525999999999,2018.0,BRB
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.6,2014.0,BRB
Belarus,BLR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,95.20914,2018.0,BLR
Belarus,BLR,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,95.08603000000001,2018.0,BLR
Belarus,BLR,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,95.32542,2018.0,BLR
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.75656,2018.0,BLR
Belgium,BEL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.11352,2017.0,BEL
Belgium,BEL,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,99.24696999999999,2017.0,BEL
Belgium,BEL,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,98.9861,2017.0,BEL
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NaN,1960.0,BEL
Belize,BLZ,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.01278,2018.0,BLZ
Belize,BLZ,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,98.63126,2013.0,BLZ
Belize,BLZ,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,99.00948000000001,2013.0,BLZ
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,70.29842,1991.0,BLZ
Benin,BEN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,97.21103000000001,2018.0,BEN
Benin,BEN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,83.58131999999999,2008.0,BEN
Benin,BEN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,96.51784,2008.0,BEN
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,42.3624,2018.0,BEN
Bermuda,BMU,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,92.71386,2012.0,BMU
Bermuda,BMU,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,90.61033,2012.0,BMU
Bermuda,BMU,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,94.744,2012.0,BMU
