Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,2017.0,AFG
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,15.695031060244698,2007.0,AFG
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,26.766,1993.0,AFG
Afghanistan,AFG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,13.69764,1993.0,AFG
Afghanistan,AFG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,38.79503,1993.0,AFG
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,AFG
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,16916992771.6571,2017.0,AFG
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,29.5593487980126,2018.0,AFG
Afghanistan,AFG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.39833171155123,2017.0,AFG
Afghanistan,AFG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.503629381060578,2014.0,AFG
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,67.12265014648439,2017.0,AFG
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,174.73063659668,2016.0,AFG
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.422999999999999,2018.0,AFG
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.2,2019.0,AFG
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3.4204487800598105,2017.0,AFG
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,37680.8181245105,2018.0,AFG
Afghanistan,AFG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,3322180000.0,2018.0,AFG
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.5,2015.0,AFG
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,66.0,2018.0,AFG
Afghanistan,AFG,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,66.0,2018.0,AFG
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,64.0,2018.0,AFG
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0,AFG
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.5,2017.0,AFG
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,66.02600000000001,2018.0,AFG
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.047,2018.0,AFG
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.486,2018.0,AFG
Afghanistan,AFG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,3.0635932519353597,2017.0,AFG
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,29.80521,2018.0,AFG
Afghanistan,AFG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,55.47545,2018.0,AFG
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,43.01972,2018.0,AFG
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,192.532,2018.0,AFG
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,237.554,2018.0,AFG
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,47.9,2018.0,AFG
Afghanistan,AFG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,44.5,2018.0,AFG
Afghanistan,AFG,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,51.1,2018.0,AFG
Afghanistan,AFG,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,37.1,2018.0,AFG
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,62.3,2018.0,AFG
Afghanistan,AFG,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,58.7,2018.0,AFG
Afghanistan,AFG,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,65.7,2018.0,AFG
Afghanistan,AFG,Net migration,SM.POP.NETM,-314602.0,2017.0,AFG
Afghanistan,AFG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,37.7460320188898,2017.0,AFG
Afghanistan,AFG,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,29.0185446835284,2017.0,AFG
