Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,66.02600000000001,2018.0,AFG
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.047,2018.0,AFG
Afghanistan,AFG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,3.0635932519353597,2017.0,AFG
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,29.80521,2018.0,AFG
Afghanistan,AFG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,55.47545,2018.0,AFG
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.167,2018.0,ALB
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.816,2018.0,ALB
Albania,ALB,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0262856705527916,2017.0,ALB
Albania,ALB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,97.76111999999999,2018.0,ALB
Albania,ALB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,98.51361999999999,2018.0,ALB
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.938,2018.0,DZA
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.494,2018.0,DZA
Algeria,DZA,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.3687163987868421,2017.0,DZA
Algeria,DZA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,75.32297,2018.0,DZA
Algeria,DZA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,87.42296,2018.0,DZA
American Samoa,ASM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,NaN,1960.0,ASM
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,NaN,1960.0,ASM
American Samoa,ASM,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,NaN,1960.0,ASM
American Samoa,ASM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,97.21991,1980.0,ASM
American Samoa,ASM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,97.46996,1980.0,ASM
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,NaN,1960.0,AND
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,NaN,1960.0,AND
Andorra,AND,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,NaN,1960.0,AND
Andorra,AND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NaN,1960.0,AND
Andorra,AND,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NaN,1960.0,AND
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.666000000000004,2018.0,AGO
