Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,111.72,2018.0,AFG
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,180.36,2018.0,ALB
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,5231.44,2018.0,DZA
American Samoa,ASM,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,ASM
Andorra,AND,Scientific and technical journal articles,IP.JRN.ARTC.SC,3.6,2018.0,AND
Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,30.12,2018.0,AGO
Antigua and Barbuda,ATG,Scientific and technical journal articles,IP.JRN.ARTC.SC,5.63,2018.0,ATG
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,8811.13,2018.0,ARG
Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,521.33,2018.0,ARM
Aruba,ABW,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,ABW
Australia,AUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,53610.22,2018.0,AUS
Austria,AUT,Scientific and technical journal articles,IP.JRN.ARTC.SC,12362.28,2018.0,AUT
Azerbaijan,AZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,761.43,2018.0,AZE
"Bahamas, The",BHS,Scientific and technical journal articles,IP.JRN.ARTC.SC,19.77,2018.0,BHS
Bahrain,BHR,Scientific and technical journal articles,IP.JRN.ARTC.SC,321.51,2018.0,BHR
Bangladesh,BGD,Scientific and technical journal articles,IP.JRN.ARTC.SC,3135.08,2018.0,BGD
Barbados,BRB,Scientific and technical journal articles,IP.JRN.ARTC.SC,37.97,2018.0,BRB
Belarus,BLR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1179.81,2018.0,BLR
Belgium,BEL,Scientific and technical journal articles,IP.JRN.ARTC.SC,15688.13,2018.0,BEL
Belize,BLZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.11,2018.0,BLZ
Benin,BEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,227.74,2018.0,BEN
Bermuda,BMU,Scientific and technical journal articles,IP.JRN.ARTC.SC,NaN,1960.0,BMU
Bhutan,BTN,Scientific and technical journal articles,IP.JRN.ARTC.SC,52.64,2018.0,BTN
Bolivia,BOL,Scientific and technical journal articles,IP.JRN.ARTC.SC,102.8,2018.0,BOL
Bosnia and Herzegovina,BIH,Scientific and technical journal articles,IP.JRN.ARTC.SC,703.79,2018.0,BIH
Botswana,BWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,280.57,2018.0,BWA
