Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,56.910808354508106,2017.0,AFG
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,56.937760009803,2018.0,AFG
Afghanistan,AFG,Population in largest city,EN.URB.LCTY,4011770.0,2018.0,AFG
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,42.331198362368205,2018.0,AFG
Afghanistan,AFG,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,4011770.0,2018.0,AFG
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.2006025215914,2017.0,ALB
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.61226277372299,2018.0,ALB
Albania,ALB,Population in largest city,EN.URB.LCTY,475577.0,2018.0,ALB
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.506392537980698,2018.0,ALB
Albania,ALB,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0,ALB
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,38.8840106983002,2017.0,DZA
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.7300750711665,2018.0,DZA
Algeria,DZA,Population in largest city,EN.URB.LCTY,2693542.0,2018.0,DZA
Algeria,DZA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,8.78230990288061,2018.0,DZA
Algeria,DZA,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,2693542.0,2018.0,DZA
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.473820241744301,2017.0,ASM
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,277.325,2018.0,ASM
American Samoa,ASM,Population in largest city,EN.URB.LCTY,NaN,1960.0,ASM
American Samoa,ASM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NaN,1960.0,ASM
American Samoa,ASM,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0,ASM
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.3076213949548,2017.0,AND
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,163.842553191489,2018.0,AND
Andorra,AND,Population in largest city,EN.URB.LCTY,NaN,1960.0,AND
Andorra,AND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NaN,1960.0,AND
Andorra,AND,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0,AND
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,32.3885049076425,2017.0,AGO
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,24.713052057431604,2018.0,AGO
Angola,AGO,Population in largest city,EN.URB.LCTY,7774200.0,2018.0,AGO
Angola,AGO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.515297744971,2018.0,AGO
