Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,AFG
Albania,ALB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.085,2018.0,ALB
Algeria,DZA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,DZA
American Samoa,ASM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,ASM
Andorra,AND,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,AND
Angola,AGO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,AGO
Antigua and Barbuda,ATG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,ATG
Argentina,ARG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0,ARG
Armenia,ARM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.109,2018.0,ARM
Aruba,ABW,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,ABW
Australia,AUS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.055,2018.0,AUS
Austria,AUT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.055,2018.0,AUT
Azerbaijan,AZE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.124,2018.0,AZE
"Bahamas, The",BHS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.057,2018.0,BHS
Bahrain,BHR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.038,2018.0,BHR
Bangladesh,BGD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0490000000000002,2018.0,BGD
Barbados,BRB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.036,2018.0,BRB
Belarus,BLR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.063,2018.0,BLR
Belgium,BEL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,BEL
Belize,BLZ,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,BLZ
Benin,BEN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.041,2018.0,BEN
Bermuda,BMU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,BMU
Bhutan,BTN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0,BTN
Bolivia,BOL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,BOL
Bosnia and Herzegovina,BIH,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.062,2018.0,BIH
Botswana,BWA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.031,2018.0,BWA
Brazil,BRA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,BRA
British Virgin Islands,VGB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,VGB
Brunei Darussalam,BRN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.055,2018.0,BRN
Bulgaria,BGR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,BGR
Burkina Faso,BFA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.046,2018.0,BFA
Burundi,BDI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,BDI
Cabo Verde,CPV,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,CPV
Cambodia,KHM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,KHM
Cameroon,CMR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,CMR
Canada,CAN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.054,2018.0,CAN
Cayman Islands,CYM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,CYM
Central African Republic,CAF,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,CAF
Chad,TCD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,TCD
Chile,CHL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0,CHL
China,CHN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.126,2018.0,CHN
Colombia,COL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,COL
Comoros,COM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,COM
"Congo, Dem. Rep.",COD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,COD
"Congo, Rep.",COG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,COG
Costa Rica,CRI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,CRI
Cote d'Ivoire,CIV,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,CIV
Croatia,HRV,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.061,2018.0,HRV
Cuba,CUB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.057,2018.0,CUB
Curacao,CUW,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,CUW
Cyprus,CYP,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.07,2018.0,CYP
Czech Republic,CZE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,CZE
Denmark,DNK,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.056,2018.0,DNK
Djibouti,DJI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0390000000000001,2018.0,DJI
Dominica,DMA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,DMA
Dominican Republic,DOM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,DOM
Ecuador,ECU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,ECU
"Egypt, Arab Rep.",EGY,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,EGY
El Salvador,SLV,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,SLV
Equatorial Guinea,GNQ,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,GNQ
Eritrea,ERI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.052,2018.0,ERI
Estonia,EST,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.067,2018.0,EST
Eswatini,SWZ,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0270000000000001,2018.0,SWZ
Ethiopia,ETH,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0,ETH
Faroe Islands,FRO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,FRO
Fiji,FJI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,FJI
Finland,FIN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.047,2018.0,FIN
France,FRA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0490000000000002,2018.0,FRA
French Polynesia,PYF,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.048,2018.0,PYF
Gabon,GAB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,GAB
"Gambia, The",GMB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,GMB
Georgia,GEO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.064,2018.0,GEO
Germany,DEU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.053,2018.0,DEU
Ghana,GHA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.053,2018.0,GHA
Gibraltar,GIB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,GIB
Greece,GRC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.065,2018.0,GRC
