GEO/AGE,TOTAL,Y65-69,Y70-74,Y_GE75
EU27_2020,"446,824,564.00","25,888,564.00","21,357,355.00","43,243,299.00"
EU28,"513,471,676.00","29,273,096.00","24,643,744.00","48,844,756.00"
BE,"11,455,519.00","615,632.00","531,538.00","1,018,289.00"
BE1,"1,215,290.00","44,534.00","37,401.00","76,760.00"
BE10,"1,215,290.00","44,534.00","37,401.00","76,760.00"
BE2,"6,596,233.00","366,964.00","323,287.00","641,892.00"
BE21,"1,860,470.00","99,030.00","87,096.00","172,144.00"
BE22,"875,842.00","52,634.00","42,674.00","81,342.00"
BE23,"1,516,283.00","81,550.00","73,016.00","144,325.00"
BE24,"1,146,643.00","60,712.00","52,976.00","107,006.00"
BE25,"1,196,995.00","73,038.00","67,525.00","137,075.00"
BE3,"3,643,996.00","204,134.00","170,850.00","299,637.00"
BE31,"404,270.00","22,271.00","20,016.00","34,400.00"
BE32,"1,346,082.00","76,342.00","64,508.00","109,393.00"
BE33,"1,110,068.00","62,330.00","51,136.00","93,849.00"
BE34,"286,685.00","14,574.00","11,865.00","22,040.00"
BE35,"496,891.00","28,617.00","23,325.00","39,955.00"
BG,"7,000,039.00","473,587.00","401,524.00","618,008.00"
BG3,"3,487,586.00","248,821.00","217,070.00","320,714.00"
BG31,"742,304.00","57,691.00","54,878.00","81,979.00"
BG32,"784,168.00","58,564.00","53,040.00","76,326.00"
BG33,"929,035.00","62,188.00","51,824.00","73,970.00"
BG34,"1,032,079.00","70,378.00","57,328.00","88,439.00"
BG4,"3,512,453.00","224,766.00","184,454.00","297,294.00"
BG41,"2,102,205.00","130,528.00","107,527.00","169,534.00"
BG42,"1,410,248.00","94,238.00","76,927.00","127,760.00"
CZ,"10,649,800.00","679,942.00","589,873.00","816,802.00"
CZ0,"10,649,800.00","679,942.00","589,873.00","816,802.00"
CZ01,"1,308,632.00","74,997.00","71,885.00","100,216.00"
CZ02,"1,369,332.00","83,732.00","72,376.00","93,151.00"
CZ03,"1,226,805.00","80,535.00","69,709.00","95,498.00"
CZ04,"1,115,685.00","75,723.00","63,504.00","77,701.00"
CZ05,"1,513,693.00","101,675.00","87,846.00","118,921.00"
CZ06,"1,696,941.00","105,442.00","92,933.00","137,954.00"
CZ07,"1,215,413.00","79,416.00","67,278.00","99,909.00"
CZ08,"1,203,299.00","78,422.00","64,342.00","93,452.00"
DK,"5,806,081.00","320,259.00","328,265.00","487,539.00"
DK0,"5,806,081.00","320,259.00","328,265.00","487,539.00"
DK01,"1,835,562.00","85,529.00","90,643.00","135,081.00"
DK02,"836,738.00","53,307.00","56,357.00","78,714.00"
DK03,"1,223,348.00","72,204.00","73,506.00","113,437.00"
DK04,"1,320,678.00","73,554.00","71,749.00","105,774.00"
DK05,"589,755.00","35,665.00","36,010.00","54,533.00"
DE,"83,019,213.00","4,808,497.00","3,596,545.00","9,478,490.00"
DE1,"11,069,533.00","594,524.00","450,012.00","1,187,675.00"
