GEO,UNIT\TIME	2010	2011	2012	2013	2014	2015	2016	2017	2018
EU27_2020,PER_KM2	107.3	107.1	107.3	107.4	108.0	108.1	108.5	108.6	108.8
EU28,PER_KM2	115.7	115.7	116.0	116.1	116.9	117.0	117.7	117.7	118.0
BE,PER_KM2	359.5	364.3	366.3	368.0	369.6	371.8	373.7	373.6	375.3
BE1,PER_KM2	6 957.2	7 131.1	7 194.2	7 260.7	7 319.4	7 408.0	7 454.6	7 421.6	7 471.5
BE10,PER_KM2	6 957.2	7 131.1	7 194.2	7 260.7	7 319.4	7 408.0	7 454.6	7 421.6	7 471.5
BE100,PER_KM2	6 957.2	7 131.1	7 194.2	7 260.7	7 319.4	7 408.0	7 454.6	7 421.6	7 471.5
BE2,PER_KM2	468.7	475.2	477.6	479.7	481.8	484.5	487.2	487.2	489.9
BE21,PER_KM2	620.7	637.4	641.3	644.7	648.0	652.0	655.9	657.7	661.6
BE211,PER_KM2	1 003.2	1 056.4	1 063.2	1 068.9	1 073.7	1 079.5	1 085.6	1 087.9	1 093.8
BE212,PER_KM2	648.3	660.7	664.3	668.1	672.1	676.2	681.1	685.1	689.5
BE213,PER_KM2	326.9	329.5	331.4	333.1	335.0	337.7	339.6	340.4	342.7
BE22,PER_KM2	352.3	355.7	357.4	358.7	360.0	361.9	363.6	364.5	365.8
BE221,PER_KM2	459.8	465.1	467.6	469.7	471.8	474.9	477.5	478.1	480.1
BE222,PER_KM2	268.3	270.3	271.6	272.7	273.6	275.1	276.5	277.4	278.0
BE223,PER_KM2	315.9	318.8	319.7	320.3	320.8	321.7	322.8	323.6	324.8
BE23,PER_KM2	486.2	493.1	495.4	497.8	500.4	503.4	506.7	505.8	508.8
BE231,PER_KM2	588.2	592.9	596.9	600.5	603.8	606.8	610.2	609.2	613.8
BE232,PER_KM2	572.2	582.1	584.9	587.3	589.9	592.2	594.9	590.3	592.5
BE233,PER_KM2	248.7	249.9	250.6	251.0	251.7	252.4	253.3	253.1	254.7
BE234,PER_KM2	566.5	573.1	575.2	578.0	581.5	586.3	591.2	591.3	594.5
