GEO,UNIT\TIME	2014	2015	2016	2017	2018
EU27_2020,NR	4 372 607	4 620 411	4 532 884	4 659 998	4 693 445
EU28,NR	4 941 447	5 221 683	5 128 539	5 265 746	5 307 758
EU27_2007,NR	4 890 608	5 167 478	5 076 997	5 212 269	5 255 052
BE,NR	104 755	110 541	108 097	109 666	110 693
BE1,NR	9 040	9 340	9 074	9 046	8 940
BE10,NR	9 040	9 340	9 074	9 046	8 940
BE100,NR	9 040	9 340	9 074	9 046	8 940
BE2,NR	58 861	62 299	60 930	62 542	63 406
BE21,NR	16 389	17 262	16 884	17 385	17 415
BE211,NR	9 551	10 035	9 745	10 219	10 003
BE212,NR	3 154	3 297	3 233	3 203	3 305
BE213,NR	3 684	3 930	3 906	3 963	4 107
BE22,NR	6 914	7 438	7 327	7 501	7 737
BE221,NR	3 498	3 708	3 648	3 845	3 954
BE222,NR	1 691	1 908	1 892	1 857	1 925
BE223,NR	1 725	1 822	1 787	1 799	1 858
BE23,NR	13 696	14 660	14 173	14 461	14 621
BE231,NR	2 741	3 028	2 912	2 873	3 006
BE232,NR	1 932	2 028	1 912	2 049	2 053
BE233,NR	848	909	846	879	858
BE234,NR	4 814	5 212	5 024	5 066	5 084
BE235,NR	1 236	1 265	1 248	1 250	1 278
BE236,NR	2 125	2 218	2 231	2 344	2 342
BE24,NR	9 780	10 286	10 185	10 268	10 561
BE241,NR	5 265	5 518	5 531	5 598	5 692
BE242,NR	4 515	4 768	4 654	4 670	4 869
BE25,NR	12 082	12 653	12 361	12 927	13 072
BE251,NR	2 870	3 023	2 963	3 103	3 161
BE252,NR	497	523	524	573	543
BE253,NR	1 092	1 075	1 030	1 126	1 148
BE254,NR	2 844	2 895	2 860	3 009	2 961
BE255,NR	1 816	1 851	1 837	2 010	1 946
BE256,NR	1 358	1 553	1 459	1 436	1 538
BE257,NR	840	948	887	887	932
BE258,NR	765	785	801	783	843
BE3,NR	36 854	38 902	38 093	38 078	38 347
BE31,NR	3 492	3 673	3 503	3 649	3 558
BE310,NR	3 492	3 673	3 503	3 649	3 558
BE32,NR	14 602	15 285	15 096	14 751	15 027
BE321,NR	901	1 016	967	875	938
BE322,NR	4 737	4 901	4 808	4 744	4 846
BE323,NR	2 757	2 905	2 983	2 819	2 738
BE324,NR	821	894	917	895	873
BE325,NR	1 903	2 020	1 901	1 913	2 003
BE326,NR	1 707	1 869	1 795	1 733	1 872
BE327,NR	1 776	1 680	1 725	1 772	1 757
BE33,NR	11 274	12 074	11 687	11 819	11 868
BE331,NR	1 171	1 208	1 187	1 175	1 244
BE332,NR	6 673	7 085	6 905	7 007	6 934
BE334,NR	767	811	764	796	840
BE335,NR	1 937	2 194	2 065	2 108	2 081
BE336,NR	726	776	766	733	769
BE34,NR	2 520	2 677	2 750	2 726	2 762
BE341,NR	505	480	514	522	524
BE342,NR	401	395	434	434	421
BE343,NR	533	601	606	580	595
BE344,NR	595	675	665	624	684
