GEO,SEX,AGE,UNIT\TIME	2014	2015	2016	2017	2018
BE,T,Y_LT1,YR	81.4	81.1	81.5	81.6	81.7
BE1,T,Y_LT1,YR	81.1	80.9	81.3	81.2	81.5
BE10,T,Y_LT1,YR	81.1	80.9	81.3	81.2	81.5
BE2,T,Y_LT1,YR	82.3	82.1	82.6	82.5	82.6
BE21,T,Y_LT1,YR	82.2	82.0	82.4	82.4	82.5
BE22,T,Y_LT1,YR	82.7	82.5	82.9	83.1	83.1
BE23,T,Y_LT1,YR	82.1	81.5	82.2	82.2	82.3
BE24,T,Y_LT1,YR	82.6	82.5	82.9	83.0	83.0
BE25,T,Y_LT1,YR	82.3	82.0	82.7	82.4	82.6
BE3,T,Y_LT1,YR	79.7	79.4	79.8	80.0	80.0
BE31,T,Y_LT1,YR	81.7	81.7	82.4	82.1	82.7
BE32,T,Y_LT1,YR	78.9	78.6	78.8	79.4	79.1
BE33,T,Y_LT1,YR	79.9	79.4	80.0	79.9	80.0
BE34,T,Y_LT1,YR	80.5	80.1	79.9	80.3	80.6
BE35,T,Y_LT1,YR	79.4	79.3	79.7	79.7	79.9
BG,T,Y_LT1,YR	74.5	74.7	74.9	74.8	75.0
BG3,T,Y_LT1,YR	73.9	74.1	74.2	74.2	74.3
BG31,T,Y_LT1,YR	73.0	73.5	73.3	73.5	73.6
BG32,T,Y_LT1,YR	74.0	74.1	74.4	74.2	74.4
BG33,T,Y_LT1,YR	74.4	74.4	74.8	74.7	74.7
BG34,T,Y_LT1,YR	74.0	74.3	74.4	74.3	74.4
BG4,T,Y_LT1,YR	75.2	75.3	75.5	75.5	75.7
BG41,T,Y_LT1,YR	75.3	75.6	75.7	75.7	75.9
BG42,T,Y_LT1,YR	75.1	74.8	75.3	75.2	75.5
CZ,T,Y_LT1,YR	78.9	78.7	79.1	79.1	79.1
CZ0,T,Y_LT1,YR	78.9	78.7	79.1	79.1	79.1
CZ01,T,Y_LT1,YR	80.3	80.3	80.6	80.8	80.8
CZ02,T,Y_LT1,YR	79.0	78.8	79.2	79.1	79.0
CZ03,T,Y_LT1,YR	79.1	78.5	79.3	79.2	79.2
