freq,tra_meas,unit,geo\TIME_PERIOD	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,PAS_CRD,THS_PAS,AT	4644 	4969 	5528 	5885 	6323 	6857 	: 	7677 	7640 	14944 	15799 	18297 	19684 	20823 	22926 	23899 	21815 	23532 	25137 	25966 	25749 	26378 	26754 	27181 	28326 	31138 	35644 
A,PAS_CRD,THS_PAS,AT1	3496 	3760 	4190 	4481 	4800 	5261 	: 	5916 	5886 	11911 	12709 	14711 	15802 	16808 	18719 	19687 	18045 	19617 	21106 	22196 	22041 	22473 	22740 	23318 	24333 	27025 	31635 
A,PAS_CRD,THS_PAS,AT12	3496 	3760 	4190 	4481 	4800 	5261 	: 	5916 	5886 	11911 	12709 	14711 	15802 	16808 	18719 	19687 	18045 	19617 	21106 	22196 	22041 	22473 	22740 	23318 	24333 	27025 	31635 
A,PAS_CRD,THS_PAS,AT2	298 	325 	350 	361 	407 	422 	: 	478 	474 	1030 	1146 	1344 	1380 	1276 	1383 	1412 	1335 	1391 	1337 	1193 	1131 	1115 	1186 	1179 	1169 	1256 	1245 
A,PAS_CRD,THS_PAS,AT21	100 	102 	100 	99 	110 	112 	: 	115 	112 	258 	311 	482 	520 	403 	465 	430 	409 	427 	378 	277 	256 	226 	230 	195 	216 	230 	210 
A,PAS_CRD,THS_PAS,AT22	198 	224 	249 	262 	298 	311 	: 	363 	361 	772 	835 	862 	860 	873 	918 	982 	926 	964 	959 	915 	875 	889 	956 	984 	952 	1027 	1035 
A,PAS_CRD,THS_PAS,AT3	850 	884 	989 	1043 	1116 	1174 	: 	1284 	1281 	2528 	2486 	2800 	3070 	3348 	3482 	3494 	3118 	3280 	3351 	3204 	3193 	3364 	3353 	3192 	3377 	3438 	3311 
A,PAS_CRD,THS_PAS,AT31	160 	195 	245 	287 	315 	322 	: 	355 	339 	599 	589 	708 	689 	720 	730 	757 	641 	642 	660 	611 	545 	553 	523 	432 	391 	459 	430 
A,PAS_CRD,THS_PAS,AT32	489 	476 	522 	520 	541 	559 	: 	596 	613 	1284 	1224 	1379 	1657 	1844 	1913 	1784 	1534 	1613 	1696 	1663 	1667 	1823 	1829 	1749 	1895 	1854 	1730 
A,PAS_CRD,THS_PAS,AT33	201 	213 	221 	237 	259 	293 	: 	333 	329 	646 	675 	713 	725 	785 	840 	953 	943 	1025 	996 	930 	981 	988 	1001 	1011 	1090 	1124 	1151 
A,PAS_CRD,THS_PAS,BE	10029 	11235 	12505 	13355 	15923 	18482 	20002 	21595 	: 	13559 	15096 	17469 	17814 	19154 	20800 	21980 	21313 	22693 	25098 	25917 	26386 	28772 	30955 	30114 	33259 	34506 	35384 
A,PAS_CRD,THS_PAS,BE2	10029 	11235 	12505 	13355 	15923 	18482 	20002 	21595 	: 	13559 	15096 	15445 	15951 	16703 	18047 	18659 	17058 	17232 	18923 	19126 	19311 	22061 	23722 	22448 	25384 	26326 	27021 
A,PAS_CRD,THS_PAS,BE21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111 	136 	129 	125 	81 	114 	110 	110 	84 	195 	257 	255 	282 	290 
A,PAS_CRD,THS_PAS,BE24	10029 	11235 	12505 	13355 	15923 	18482 	20002 	21595 	: 	13559 	15096 	15445 	15951 	16593 	17745 	18369 	16785 	16980 	18613 	18815 	18985 	21754 	23269 	21769 	24776 	25637 	26287 
A,PAS_CRD,THS_PAS,BE25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	168 	164 	151 	175 	201 	204 	220 	226 	260 	423 	354 	407 	445 
A,PAS_CRD,THS_PAS,BE3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2023 	1863 	2452 	2771 	3336 	4269 	5476 	6186 	6802 	7086 	6723 	7239 	7669 	7877 	8181 	8363 
A,PAS_CRD,THS_PAS,BE32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2023 	1863 	2155 	2443 	2942 	3919 	5181 	5883 	6506 	6776 	6425 	6945 	7291 	7688 	8017 	8197 
A,PAS_CRD,THS_PAS,BE33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	298 	329 	395 	351 	295 	303 	296 	310 	298 	295 	378 	188 	164 	167 
A,PAS_CRD,THS_PAS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6071 	6418 	5839 	6168 	6652 	6819 	7079 	7519 	7609 	9324 	11092 	12137 	11712 
A,PAS_CRD,THS_PAS,BG3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3440 	3350 	2892 	3063 	3385 	3559 	3754 	3871 	3706 	4513 	4884 	5512 	4918 
A,PAS_CRD,THS_PAS,BG33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1493 	1430 	1212 	1200 	1165 	1210 	1302 	1372 	1382 	1669 	1947 	2264 	2069 
A,PAS_CRD,THS_PAS,BG34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1947 	1920 	1684 	1872 	2227 	2357 	2461 	2508 	2334 	2854 	2950 	3256 	2858 
A,PAS_CRD,THS_PAS,BG4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2723 	3205 	3116 	3278 	3466 	3456 	3497 	3808 	4057 	4964 	6478 	6932 	7078 
A,PAS_CRD,THS_PAS,BG41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2723 	3205 	3116 	3278 	3466 	3456 	3497 	3808 	4057 	4964 	6478 	6932 	7078 
A,PAS_CRD,THS_PAS,CH	18140 	19357 	20501 	21329 	23376 	24742 	27008 	: 	: 	25460 	24549 	25312 	26842 	28814 	31176 	33098 	32790 	34264 	37099 	38493 	39065 	40306 	41709 	43776 	46315 	48287 	48806 
