GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018	2019
BE,NR,NRCBED	140 692.00	143 559.00	145 220.00	147 058.00	:
BG,NR,NRCBED	2 394.00	2 193.00	2 177.00	2 084.00	:
BG31,NR,NRCBED	412.00	:	:	:	:
BG32,NR,NRCBED	160.00	:	:	:	:
BG33,NR,NRCBED	360.00	:	:	:	:
BG34,NR,NRCBED	619.00	:	:	:	:
BG41,NR,NRCBED	615.00	:	:	:	:
BG42,NR,NRCBED	228.00	:	:	:	:
CZ,NR,NRCBED	69 964.00	72 013.00	72 834.00	73 427.00	:
CZ01,NR,NRCBED	4 846.00	:	:	:	:
CZ02,NR,NRCBED	9 589.00	:	:	:	:
CZ03,NR,NRCBED	9 036.00	:	:	:	:
CZ04,NR,NRCBED	9 559.00	:	:	:	:
CZ05,NR,NRCBED	10 151.00	:	:	:	:
CZ06,NR,NRCBED	11 550.00	:	:	:	:
CZ07,NR,NRCBED	10 411.00	:	:	:	:
CZ08,NR,NRCBED	8 525.00	:	:	:	:
DK,NR,NRCBED	50 678.00	50 839.00	43 249.00	43 102.00	42 955.00
DE,NR,NRCBED	928 939.00	:	952 367.00	:	:
DE1,NR,NRCBED	108 005.00	:	:	:	:
DE2,NR,NRCBED	134 772.00	:	:	:	:
DE3,NR,NRCBED	34 813.00	:	:	:	:
DE4,NR,NRCBED	29 007.00	:	:	:	:
DE5,NR,NRCBED	7 571.00	:	:	:	:
DE6,NR,NRCBED	18 478.00	:	:	:	:
DE7,NR,NRCBED	62 643.00	:	:	:	:
DE8,NR,NRCBED	21 720.00	:	:	:	:
DE9,NR,NRCBED	109 431.00	:	:	:	:
DEA,NR,NRCBED	187 570.00	:	:	:	:
DEB,NR,NRCBED	44 864.00	:	:	:	:
DEC,NR,NRCBED	13 003.00	:	:	:	:
DED,NR,NRCBED	55 266.00	:	:	:	:
DEE,NR,NRCBED	32 827.00	:	:	:	:
DEF,NR,NRCBED	41 010.00	:	:	:	:
DEG,NR,NRCBED	27 959.00	:	:	:	:
EE,NR,NRCBED	11 380.00	11 441.00	11 470.00	11 661.00	:
EE00,NR,NRCBED	11 329.00	:	:	:	:
IE,NR,NRCBED	30 106.00	30 396.00	30 732.00	31 251.00	32 071.00
IE01,NR,NRCBED	8 417.00	7 731.00	:	:	:
IE02,NR,NRCBED	21 689.00	22 665.00	:	:	:
EL,NR,NRCBED	4 268.00	4 249.00	4 237.00	4 271.00	:
EL52,NR,NRCBED	402.00	:	:	:	:
EL54,NR,NRCBED	46.00	:	:	:	:
EL61,NR,NRCBED	50.00	:	:	:	:
EL62,NR,NRCBED	111.00	:	:	:	:
EL63,NR,NRCBED	55.00	:	:	:	:
EL65,NR,NRCBED	137.00	:	:	:	:
EL30,NR,NRCBED	896.00	:	:	:	:
EL43,NR,NRCBED	116.00	:	:	:	:
ES,NR,NRCBED	381 333.00	383 995.00	386 873.00	391 475.00	:
ES11,NR,NRCBED	22 306.00	:	:	:	:
ES12,NR,NRCBED	14 564.00	:	:	:	:
ES13,NR,NRCBED	5 639.00	:	:	:	:
ES21,NR,NRCBED	20 054.00	:	:	:	:
ES22,NR,NRCBED	6 621.00	:	:	:	:
ES23,NR,NRCBED	3 218.00	:	:	:	:
ES24,NR,NRCBED	15 319.00	:	:	:	:
ES30,NR,NRCBED	52 245.00	:	:	:	:
ES41,NR,NRCBED	28 166.00	:	:	:	:
ES42,NR,NRCBED	45 783.00	:	:	:	:
ES43,NR,NRCBED	12 878.00	:	:	:	:
ES51,NR,NRCBED	64 334.00	:	:	:	:
ES52,NR,NRCBED	27 162.00	:	:	:	:
ES53,NR,NRCBED	5 516.00	:	:	:	:
ES61,NR,NRCBED	44 219.00	:	:	:	:
ES62,NR,NRCBED	3 194.00	:	:	:	:
ES63,NR,NRCBED	142.00	:	:	:	:
ES64,NR,NRCBED	311.00	:	:	:	:
ES70,NR,NRCBED	9 662.00	:	:	:	:
FR,NR,NRCBED	649 554.00	653 013.00	656 307.00	658 713.00	:
HR,NR,NRCBED	9 482.00	10 339.00	9 410.00	9 178.00	:
HR03,NR,NRCBED	3 035.00	:	:	:	:
HR04,NR,NRCBED	6 447.00	:	:	:	:
IT,NR,NRCBED	244 395.00	244 928.00	251 701.00	253 642.00	:
ITC1,NR,NRCBED	33 649.00	:	:	:	:
ITC2,NR,NRCBED	141.00	:	:	:	:
ITC3,NR,NRCBED	7 934.00	:	:	:	:
ITC4,NR,NRCBED	69 307.00	:	:	:	:
ITH1,NR,NRCBED	3 923.00	:	:	:	:
ITH2,NR,NRCBED	4 895.00	:	:	:	:
ITH3,NR,NRCBED	36 378.00	:	:	:	:
ITH4,NR,NRCBED	9 046.00	:	:	:	:
ITH5,NR,NRCBED	21 732.00	:	:	:	:
ITI1,NR,NRCBED	13 788.00	:	:	:	:
ITI2,NR,NRCBED	3 162.00	:	:	:	:
ITI3,NR,NRCBED	5 192.00	:	:	:	:
ITI4,NR,NRCBED	10 385.00	:	:	:	:
ITF1,NR,NRCBED	2 563.00	:	:	:	:
ITF2,NR,NRCBED	194.00	:	:	:	:
ITF3,NR,NRCBED	2 919.00	:	:	:	:
ITF4,NR,NRCBED	8 676.00	:	:	:	:
ITF5,NR,NRCBED	560.00	:	:	:	:
