GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018
EU27_2020,P_HTHAB,HBEDT	549.06	545.16	541.26	537.34
EU28,P_HTHAB,HBEDT	512.24	508.21	504.15	500.39
BE,P_HTHAB,HBEDT	583.22	576.40	566.35	562.24
BE10,P_HTHAB,HBEDT	735.56	726.38	716.30	711.51
BE21,P_HTHAB,HBEDT	575.05	570.43	560.25	553.86
BE22,P_HTHAB,HBEDT	492.03	489.11	485.08	483.36
BE23,P_HTHAB,HBEDT	621.60	615.68	608.44	603.80
BE24,P_HTHAB,HBEDT	433.94	429.96	425.09	423.95
BE25,P_HTHAB,HBEDT	691.73	689.05	683.68	674.19
BE31,P_HTHAB,HBEDT	256.79	252.55	236.63	234.80
BE32,P_HTHAB,HBEDT	638.96	626.24	607.79	606.88
BE33,P_HTHAB,HBEDT	593.45	581.39	570.08	566.43
BE34,P_HTHAB,HBEDT	417.02	413.82	410.09	408.61
BE35,P_HTHAB,HBEDT	550.28	540.46	517.75	514.89
BG,P_HTHAB,HBEDT	723.50	726.95	745.40	756.91
BG31,P_HTHAB,HBEDT	718.00	718.62	769.15	771.43
BG32,P_HTHAB,HBEDT	651.68	635.58	645.45	660.22
BG33,P_HTHAB,HBEDT	518.15	500.39	511.70	529.54
BG34,P_HTHAB,HBEDT	614.37	641.64	656.29	656.97
BG41,P_HTHAB,HBEDT	696.17	690.85	701.04	714.20
BG42,P_HTHAB,HBEDT	772.44	790.14	816.88	824.21
CZ,P_HTHAB,HBEDT	666.72	666.45	662.74	661.82
CZ01,P_HTHAB,HBEDT	862.21	853.31	841.93	830.15
CZ02,P_HTHAB,HBEDT	516.24	514.96	507.62	508.35
CZ03,P_HTHAB,HBEDT	673.79	663.36	655.18	656.18
CZ04,P_HTHAB,HBEDT	620.43	629.90	632.60	627.02
CZ05,P_HTHAB,HBEDT	641.34	640.04	635.32	636.35
CZ06,P_HTHAB,HBEDT	702.06	706.47	708.25	713.29
CZ07,P_HTHAB,HBEDT	633.68	635.20	634.55	634.22
CZ08,P_HTHAB,HBEDT	678.49	682.08	679.12	678.74
DK,P_HTHAB,HBEDT	253.01	259.62	260.83	242.97
DK01,P_HTHAB,HBEDT	249.29	319.36	306.72	300.80
DK02,P_HTHAB,HBEDT	308.26	284.21	294.68	280.90
DK03,P_HTHAB,HBEDT	231.48	220.75	229.12	155.48
DK04,P_HTHAB,HBEDT	242.08	215.97	220.49	224.81
DK05,P_HTHAB,HBEDT	255.11	218.79	226.78	231.74
DE,P_HTHAB,HBEDT	813.31	806.26	800.23	:
DE1,P_HTHAB,HBEDT	758.65	747.96	741.74	:
DE2,P_HTHAB,HBEDT	824.67	821.92	815.34	:
DE3,P_HTHAB,HBEDT	588.31	580.84	579.66	:
DE4,P_HTHAB,HBEDT	832.06	826.87	826.98	:
DE5,P_HTHAB,HBEDT	818.67	824.74	790.57	:
DE6,P_HTHAB,HBEDT	720.58	718.82	709.69	:
DE7,P_HTHAB,HBEDT	853.33	842.37	838.42	:
DE8,P_HTHAB,HBEDT	1 301.57	1 282.89	1 285.31	:
DE9,P_HTHAB,HBEDT	756.56	746.40	746.12	:
DEA,P_HTHAB,HBEDT	792.24	785.02	776.67	:
DEB,P_HTHAB,HBEDT	809.68	807.31	795.51	:
DEC,P_HTHAB,HBEDT	923.50	920.17	928.35	:
DED,P_HTHAB,HBEDT	847.26	848.80	848.97	:
DEE,P_HTHAB,HBEDT	876.81	873.95	872.42	:
DEF,P_HTHAB,HBEDT	934.97	921.74	899.69	:
DEG,P_HTHAB,HBEDT	1 005.71	998.42	996.02	:
EE,P_HTHAB,HBEDT	495.97	475.84	469.49	457.35
EE00,P_HTHAB,HBEDT	495.97	475.84	469.49	457.35
IE,P_HTHAB,HBEDT	292.01	295.94	297.02	297.39
IE01,P_HTHAB,HBEDT	246.16	247.29	:	:
IE02,P_HTHAB,HBEDT	258.80	264.48	:	:
EL,P_HTHAB,HBEDT	424.60	420.13	420.91	419.77
EL51,P_HTHAB,HBEDT	403.47	405.70	402.00	403.53
EL52,P_HTHAB,HBEDT	447.21	453.47	450.78	450.53
