GEO,UNIT,ISCO08\TIME	2015	2016	2017	2018
EU27_2020,P_HTHAB,OC221	366.60	372.47	376.49	381.93
EU28,P_HTHAB,OC221	355.16	360.36	364.18	369.25
BE,P_HTHAB,OC221	301.75	307.41	308.29	312.96
BE10,P_HTHAB,OC221	379.23	381.86	382.69	388.06
BE21,P_HTHAB,OC221	252.22	260.59	263.10	267.44
BE22,P_HTHAB,OC221	239.77	247.49	249.20	252.20
BE23,P_HTHAB,OC221	276.00	280.96	281.62	288.70
BE24,P_HTHAB,OC221	387.45	396.85	397.67	402.59
BE25,P_HTHAB,OC221	247.91	254.21	253.88	257.07
BE31,P_HTHAB,OC221	496.66	499.32	508.71	513.04
BE32,P_HTHAB,OC221	251.51	254.76	252.88	255.55
BE33,P_HTHAB,OC221	345.35	350.21	351.15	357.01
BE34,P_HTHAB,OC221	224.31	228.92	227.87	228.09
BE35,P_HTHAB,OC221	345.18	346.99	345.50	352.60
BG,P_HTHAB,OC221	404.54	413.76	424.49	421.71
BG31,P_HTHAB,OC221	422.88	431.15	447.57	441.45
BG32,P_HTHAB,OC221	317.98	323.77	332.91	332.45
BG33,P_HTHAB,OC221	376.79	384.88	401.82	394.15
BG34,P_HTHAB,OC221	339.92	348.69	348.38	344.66
BG41,P_HTHAB,OC221	428.55	436.82	444.44	443.59
BG42,P_HTHAB,OC221	380.56	394.51	406.19	404.15
CZ,P_HTHAB,OC221	:	:	:	403.76
CZ01,P_HTHAB,OC221	:	:	:	738.11
CZ02,P_HTHAB,OC221	:	:	:	268.83
CZ03,P_HTHAB,OC221	:	:	:	375.11
CZ04,P_HTHAB,OC221	:	:	:	324.93
CZ05,P_HTHAB,OC221	:	:	:	345.39
CZ06,P_HTHAB,OC221	:	:	:	424.90
CZ07,P_HTHAB,OC221	:	:	:	377.85
CZ08,P_HTHAB,OC221	:	:	:	366.76
DK,P_HTHAB,OC221	392.93	399.82	410.89	419.44
DK01,P_HTHAB,OC221	463.27	472.39	478.39	489.91
DK02,P_HTHAB,OC221	345.76	353.72	367.72	367.16
DK03,P_HTHAB,OC221	371.54	376.29	389.83	399.25
DK04,P_HTHAB,OC221	378.17	384.98	392.69	400.41
DK05,P_HTHAB,OC221	321.54	323.49	347.48	356.09
DE,P_HTHAB,OC221	413.93	418.65	424.88	431.09
DE1,P_HTHAB,OC221	399.45	402.28	405.54	408.58
DE2,P_HTHAB,OC221	433.21	437.79	442.11	448.64
DE3,P_HTHAB,OC221	524.73	529.14	534.53	542.38
DE4,P_HTHAB,OC221	358.18	363.81	370.78	373.49
DE5,P_HTHAB,OC221	521.08	540.94	546.41	540.02
DE6,P_HTHAB,OC221	611.85	614.42	622.08	629.07
DE7,P_HTHAB,OC221	395.61	399.02	406.06	413.51
DE8,P_HTHAB,OC221	415.57	423.70	429.26	429.96
DE9,P_HTHAB,OC221	365.54	368.59	373.61	378.51
DEA,P_HTHAB,OC221	417.28	422.10	429.17	438.63
DEB,P_HTHAB,OC221	377.93	381.33	393.82	398.58
DEC,P_HTHAB,OC221	453.38	462.99	470.66	478.66
DED,P_HTHAB,OC221	392.62	396.83	403.01	406.78
DEE,P_HTHAB,OC221	379.24	387.48	394.90	404.52
DEF,P_HTHAB,OC221	403.62	413.58	421.15	427.20
DEG,P_HTHAB,OC221	399.86	405.65	414.54	418.74
EE,P_HTHAB,OC221	341.49	345.65	346.82	348.34
EE00,P_HTHAB,OC221	341.49	345.65	346.82	348.34
IE,P_HTHAB,OC221	311.91	319.18	325.75	327.94
EL,P_HTHAB,OC221	590.21	612.21	606.62	610.40
EL51,P_HTHAB,OC221	496.62	498.80	494.86	496.96
EL52,P_HTHAB,OC221	610.98	620.92	612.71	625.16
EL53,P_HTHAB,OC221	330.75	358.31	356.57	355.07
EL54,P_HTHAB,OC221	677.83	666.29	667.87	695.18
EL61,P_HTHAB,OC221	505.36	511.50	522.26	521.27
