GEO,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
EU27_2020,MIO_EUR	10 587 697.08	10 978 266.91	11 322 769.12	11 390 025.44	11 516 666.66	11 781 668.79	12 213 172.55	12 550 255.35	13 046 781.75	13 483 857.12
EU28,MIO_EUR	12 324 697.08	12 845 662.91	13 235 227.12	13 501 733.44	13 615 092.66	14 091 453.79	14 854 107.55	14 985 310.35	15 409 890.75	15 907 594.12
BE,MIO_EUR	346 472.8	363 140.1	375 967.8	386 174.7	392 880	403 003.3	416 701.4	430 372.1	446 364.9	459 819.8
BE1,MIO_EUR	65 786.35	69 086.02	71 211.62	73 165.33	73 996.67	76 063.94	78 923.78	80 317.93	82 277.04	83 986.59
BE10,MIO_EUR	65 786.35	69 086.02	71 211.62	73 165.33	73 996.67	76 063.94	78 923.78	80 317.93	82 277.04	83 986.59
BE100,MIO_EUR	65 786.35	69 086.02	71 211.62	73 165.33	73 996.67	76 063.94	78 923.78	80 317.93	82 277.04	83 986.59
BE2,MIO_EUR	199 520.43	208 141.88	216 565.22	223 425.36	227 817.91	233 234.85	242 129.27	251 412.56	261 263.23	269 886.01
BE21,MIO_EUR	65 011.83	68 034.94	70 963.63	73 214.58	74 425.63	76 009.28	79 399.75	82 274.13	85 180.68	88 015.24
BE211,MIO_EUR	38 499.78	40 746.51	42 455.13	43 774.33	44 090.79	45 100.91	47 277.49	48 646.35	50 478.13	52 137.95
BE212,MIO_EUR	11 235.14	11 520.61	11 929.94	12 277.13	12 662.28	13 003.92	13 640.47	14 233.26	14 756.34	15 348.89
BE213,MIO_EUR	15 276.91	15 767.82	16 578.56	17 163.12	17 672.56	17 904.46	18 481.79	19 394.53	19 946.21	20 528.39
BE22,MIO_EUR	21 319.07	22 464.17	23 653.28	24 132.91	24 499.43	25 492.15	25 879.69	26 817.72	27 843.87	28 707.3
BE221,MIO_EUR	12 489.67	13 397.29	14 121.02	14 294.58	14 653.27	15 283.8	15 433.29	16 112.95	16 775.63	17 264.66
BE222,MIO_EUR	5 243.24	5 328.75	5 549.64	5 763.16	5 718.31	5 869.87	5 985.27	6 186.76	6 360.23	6 626.19
BE223,MIO_EUR	3 586.16	3 738.13	3 982.61	4 075.18	4 127.85	4 338.48	4 461.13	4 518.01	4 708.01	4 816.45
BE23,MIO_EUR	41 264.74	43 035.65	44 795.55	46 065.4	47 151.27	47 919.5	50 199.86	52 049.25	54 436.87	56 414.76
BE231,MIO_EUR	5 854.22	5 898.18	6 122.91	6 422.77	6 589.33	6 638.7	6 981.42	6 998.5	7 445.5	7 684.49
BE232,MIO_EUR	4 241.92	4 365.22	4 563.49	4 775.19	4 924.87	4 974.75	5 146.18	5 347.9	5 423.18	5 645.76
BE233,MIO_EUR	1 825.99	1 892.13	1 979.9	2 072.73	2 074.39	2 175.05	2 221.91	2 287.46	2 408.77	2 493.88
BE234,MIO_EUR	19 260.24	20 411.94	21 115.76	21 612.42	22 365.72	22 990.75	24 151.05	25 182.69	26 421.25	27 422.39
BE235,MIO_EUR	3 340.12	3 447.15	3 589.76	3 736.87	3 721.05	3 505.27	3 625.05	3 762.06	3 891.14	3 966.05
BE236,MIO_EUR	6 742.25	7 021.03	7 423.72	7 445.42	7 475.91	7 634.97	8 074.24	8 470.63	8 847.03	9 202.2
BE24,MIO_EUR	37 027.3	38 075.25	39 327.9	41 014.57	41 804.6	42 760.78	44 547.34	46 531.85	48 303.34	49 832.44
