Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.27368659983209,2017.0
Arab World,ARB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.55431439325939,2017.0
Arab World,ARB,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,2048762756763.33,2017.0
Arab World,ARB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2161640172189.2,2017.0
Arab World,ARB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.593718958338158,2017.0
Arab World,ARB,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,4973.94490118062,2017.0
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5247.98641382651,2017.0
Arab World,ARB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.648015003259395,2017.0
Arab World,ARB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.91097068556271,2017.0
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.41347319289088,2017.0
Arab World,ARB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2708687562213.17,2018.0
Arab World,ARB,GDP (constant LCU),NY.GDP.MKTP.KN,NaN,1960.0
Arab World,ARB,GDP (current LCU),NY.GDP.MKTP.CN,NaN,1960.0
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2774314967156.43,2018.0
Arab World,ARB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.62452358185493,2014.0
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.4933662533549,2017.0
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.9212501154086,2017.0
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.62252632766871,2017.0
