Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,13247809.6311614,2010.0
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,41.0745814068609,2018.0
Arab World,ARB,Surface area (sq. km),AG.SRF.TOTL.K2,11273300.9922791,2018.0
Caribbean small states,CSS,Rural land area (sq. km),AG.LND.TOTL.RU.K2,393218.20852738,2010.0
Caribbean small states,CSS,Rural population (% of total population),SP.RUR.TOTL.ZS,48.8006384223868,2018.0
Caribbean small states,CSS,Surface area (sq. km),AG.SRF.TOTL.K2,434990.0,2018.0
Central Europe and the Baltics,CEB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,829422.9101399999,2010.0
Central Europe and the Baltics,CEB,Rural population (% of total population),SP.RUR.TOTL.ZS,37.6679239372373,2018.0
Central Europe and the Baltics,CEB,Surface area (sq. km),AG.SRF.TOTL.K2,1135391.00097656,2018.0
Early-demographic dividend,EAR,Rural land area (sq. km),AG.LND.TOTL.RU.K2,27317793.2668622,2010.0
Early-demographic dividend,EAR,Rural population (% of total population),SP.RUR.TOTL.ZS,54.86874330132811,2018.0
Early-demographic dividend,EAR,Surface area (sq. km),AG.SRF.TOTL.K2,34108218.0537415,2018.0
East Asia & Pacific,EAS,Rural land area (sq. km),AG.LND.TOTL.RU.K2,22098309.7585607,2010.0
East Asia & Pacific,EAS,Rural population (% of total population),SP.RUR.TOTL.ZS,40.9472113285627,2018.0
East Asia & Pacific,EAS,Surface area (sq. km),AG.SRF.TOTL.K2,24827743.4039211,2018.0
East Asia & Pacific (excluding high income),EAP,Rural land area (sq. km),AG.LND.TOTL.RU.K2,13813472.349095901,2010.0
East Asia & Pacific (excluding high income),EAP,Rural population (% of total population),SP.RUR.TOTL.ZS,44.366411761736295,2018.0
East Asia & Pacific (excluding high income),EAP,Surface area (sq. km),AG.SRF.TOTL.K2,16272875.0,2018.0
East Asia & Pacific (IDA & IBRD countries),TEA,Rural land area (sq. km),AG.LND.TOTL.RU.K2,13694589.5321299,2010.0
East Asia & Pacific (IDA & IBRD countries),TEA,Rural population (% of total population),SP.RUR.TOTL.ZS,44.4449079814641,2018.0
East Asia & Pacific (IDA & IBRD countries),TEA,Surface area (sq. km),AG.SRF.TOTL.K2,16152595.0,2018.0
Euro area,EMU,Rural land area (sq. km),AG.LND.TOTL.RU.K2,2175027.39413571,2010.0
Euro area,EMU,Rural population (% of total population),SP.RUR.TOTL.ZS,23.0082672893716,2018.0
Euro area,EMU,Surface area (sq. km),AG.SRF.TOTL.K2,2759787.59277344,2018.0
Europe & Central Asia,ECS,Rural land area (sq. km),AG.LND.TOTL.RU.K2,22064738.744341698,2010.0
Europe & Central Asia,ECS,Rural population (% of total population),SP.RUR.TOTL.ZS,27.816489498941102,2018.0
Europe & Central Asia,ECS,Surface area (sq. km),AG.SRF.TOTL.K2,28691030.977592498,2018.0
Europe & Central Asia (excluding high income),ECA,Rural land area (sq. km),AG.LND.TOTL.RU.K2,18298350.99074,2010.0
Europe & Central Asia (excluding high income),ECA,Rural population (% of total population),SP.RUR.TOTL.ZS,33.0526194856177,2018.0
Europe & Central Asia (excluding high income),ECA,Surface area (sq. km),AG.SRF.TOTL.K2,23473611.875,2018.0
Europe & Central Asia (IDA & IBRD countries),TEC,Rural land area (sq. km),AG.LND.TOTL.RU.K2,18627211.06105,2010.0
Europe & Central Asia (IDA & IBRD countries),TEC,Rural population (% of total population),SP.RUR.TOTL.ZS,33.713167687406504,2018.0
Europe & Central Asia (IDA & IBRD countries),TEC,Surface area (sq. km),AG.SRF.TOTL.K2,23842881.875,2018.0
European Union,EUU,Rural land area (sq. km),AG.LND.TOTL.RU.K2,3433973.73013571,2010.0
European Union,EUU,Rural population (% of total population),SP.RUR.TOTL.ZS,25.484300925756003,2018.0
European Union,EUU,Surface area (sq. km),AG.SRF.TOTL.K2,4384317.59277344,2018.0
Fragile and conflict affected situations,FCS,Rural land area (sq. km),AG.LND.TOTL.RU.K2,12215779.1057705,2010.0
Fragile and conflict affected situations,FCS,Rural population (% of total population),SP.RUR.TOTL.ZS,55.06337903800551,2018.0
Fragile and conflict affected situations,FCS,Surface area (sq. km),AG.SRF.TOTL.K2,13147112.9922485,2018.0
