Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,NaN,1960.0
Arab World,ARB,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0
Arab World,ARB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,34.9929372833126,2018.0
Arab World,ARB,Net migration,SM.POP.NETM,-1408824.0,2017.0
Arab World,ARB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.12095337423207901,2018.0
Arab World,ARB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.9411200000000001,2018.0
Arab World,ARB,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,25.3732192745381,2019.0
Caribbean small states,CSS,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,NaN,1960.0
Caribbean small states,CSS,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0
Caribbean small states,CSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,17.178846170585,2018.0
Caribbean small states,CSS,Net migration,SM.POP.NETM,-87055.0,2017.0
Caribbean small states,CSS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,1.7485995993438401,2018.0
Caribbean small states,CSS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00971,2018.0
Caribbean small states,CSS,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,26.683565449228897,2019.0
Central Europe and the Baltics,CEB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,NaN,1960.0
Central Europe and the Baltics,CEB,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0
Central Europe and the Baltics,CEB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.98402716783775,2018.0
Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM,-642033.0,2017.0
Central Europe and the Baltics,CEB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,NaN,1960.0
Central Europe and the Baltics,CEB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.99261,2018.0
Central Europe and the Baltics,CEB,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,14.5158607608582,2019.0
Early-demographic dividend,EAR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,NaN,1960.0
Early-demographic dividend,EAR,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0
Early-demographic dividend,EAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,35.361265591636794,2018.0
Early-demographic dividend,EAR,Net migration,SM.POP.NETM,-11460012.0,2017.0
