Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.27368659983209,2017.0
Arab World,ARB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.7690232203748419,2014.0
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,58.6892586001699,2017.0
Arab World,ARB,Population growth (annual %),SP.POP.GROW,1.9159123160214901,2018.0
Arab World,ARB,"Population, total",SP.POP.TOTL,419790588.0,2018.0
Arab World,ARB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,NaN,1960.0
Arab World,ARB,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,NaN,1960.0
Arab World,ARB,Urban population,SP.URB.TOTL,247363361.0,2018.0
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.925418593139106,2018.0
Arab World,ARB,Urban population growth (annual %),SP.URB.GROW,2.40937764701108,2018.0
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.3837313333542,2017.0
Caribbean small states,CSS,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.970681266497047,2014.0
Caribbean small states,CSS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.0098301339144,2017.0
Caribbean small states,CSS,Population growth (annual %),SP.POP.GROW,0.601162817720862,2018.0
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7358965.0,2018.0
Caribbean small states,CSS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,NaN,1960.0
Caribbean small states,CSS,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,NaN,1960.0
Caribbean small states,CSS,Urban population,SP.URB.TOTL,3767742.0,2018.0
Caribbean small states,CSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.1993615776132,2018.0
Caribbean small states,CSS,Urban population growth (annual %),SP.URB.GROW,0.906128378096099,2018.0
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017.0
Central Europe and the Baltics,CEB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.446438464384144,2014.0
Central Europe and the Baltics,CEB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.6333281162193,2017.0
Central Europe and the Baltics,CEB,Population growth (annual %),SP.POP.GROW,-0.22088235479053303,2018.0
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102511922.0,2018.0
Central Europe and the Baltics,CEB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,NaN,1960.0
Central Europe and the Baltics,CEB,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,NaN,1960.0
Central Europe and the Baltics,CEB,Urban population,SP.URB.TOTL,63897809.0,2018.0
Central Europe and the Baltics,CEB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.3320760627627,2018.0
Central Europe and the Baltics,CEB,Urban population growth (annual %),SP.URB.GROW,-0.0870039053873768,2018.0
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.68482985901409,2017.0
