Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.55431439325939,2017.0
Arab World,ARB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2161640172189.2,2017.0
Arab World,ARB,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Caribbean small states,CSS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Caribbean small states,CSS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,55633256817.2272,2017.0
Caribbean small states,CSS,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Central Europe and the Baltics,CEB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.84578084992879,2017.0
Central Europe and the Baltics,CEB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1164824132417.77,2017.0
Central Europe and the Baltics,CEB,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Early-demographic dividend,EAR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.6890628239768497,2017.0
Early-demographic dividend,EAR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,9510870892642.34,2017.0
Early-demographic dividend,EAR,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
East Asia & Pacific,EAS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.7888380975446005,2017.0
East Asia & Pacific,EAS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,18654105299866.8,2017.0
East Asia & Pacific,EAS,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
East Asia & Pacific (excluding high income),EAP,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.14560257338887,2017.0
East Asia & Pacific (excluding high income),EAP,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11143759084077.9,2017.0
East Asia & Pacific (excluding high income),EAP,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
