Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,85.38422,2018.0
Arab World,ARB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,84.25278,2018.0
Arab World,ARB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,86.50601,2018.0
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,74.5966,2018.0
Caribbean small states,CSS,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,88.92917,2018.0
Caribbean small states,CSS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,89.1015,2018.0
Caribbean small states,CSS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,88.76253,2018.0
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,91.12809,2015.0
Central Europe and the Baltics,CEB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,91.02484,2018.0
Central Europe and the Baltics,CEB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,91.67749,2018.0
Central Europe and the Baltics,CEB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,90.40556,2018.0
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,98.99005,2016.0
Early-demographic dividend,EAR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,92.98125999999999,2018.0
Early-demographic dividend,EAR,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,92.38479,2018.0
Early-demographic dividend,EAR,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,93.56777,2018.0
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,79.35073,2018.0
East Asia & Pacific,EAS,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,95.98306,2018.0
East Asia & Pacific,EAS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,95.56074,2018.0
East Asia & Pacific,EAS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,96.36166999999999,2018.0
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,95.6076,2018.0
East Asia & Pacific (excluding high income),EAP,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,96.01509,2018.0
East Asia & Pacific (excluding high income),EAP,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,95.55948000000001,2018.0
East Asia & Pacific (excluding high income),EAP,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,96.42189,2018.0
