Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.27368659983209,2017.0
Arab World,ARB,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,NaN,1960.0
Arab World,ARB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,85.38422,2018.0
Arab World,ARB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,84.25278,2018.0
Arab World,ARB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,86.50601,2018.0
Arab World,ARB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.55431439325939,2017.0
Arab World,ARB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2161640172189.2,2017.0
Arab World,ARB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,31867.6107646217,2018.0
Arab World,ARB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.11309712731664,2017.0
Arab World,ARB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.7690232203748419,2014.0
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,339.580122579259,2016.0
Arab World,ARB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1014.5592220972001,2016.0
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.41347319289088,2017.0
Arab World,ARB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,12.5359728836622,2019.0
Arab World,ARB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,199.311244027919,2016.0
Arab World,ARB,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Arab World,ARB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,NaN,1960.0
Arab World,ARB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.62452358185493,2014.0
Arab World,ARB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,86.24604164297389,2018.0
Arab World,ARB,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,86.26880380087151,2018.0
Arab World,ARB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,84.8386698893194,2018.0
Arab World,ARB,Income share held by lowest 20%,SI.DST.FRST.20,NaN,1960.0
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.1667289489987,2018.0
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.4933662533549,2017.0
