Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,31867.6107646217,2018.0
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.1667289489987,2018.0
Arab World,ARB,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,571.23,2005.0
Caribbean small states,CSS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,83.26308650242109,2018.0
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.1763508018446,2017.0
Caribbean small states,CSS,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,NaN,1960.0
Central Europe and the Baltics,CEB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,305.88707999999997,2018.0
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.9933743459813,2018.0
Central Europe and the Baltics,CEB,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,756.0,2018.0
Early-demographic dividend,EAR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,19229.447143568603,2018.0
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.0290615571683,2017.0
Early-demographic dividend,EAR,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,NaN,1960.0
East Asia & Pacific,EAS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,74702.3864146408,2018.0
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.073265681210096,2017.0
East Asia & Pacific,EAS,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,12338.2,2010.0
East Asia & Pacific (excluding high income),EAP,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,31942.421118436803,2018.0
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,51.168744661739396,2017.0
East Asia & Pacific (excluding high income),EAP,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,6876.5,2005.0
East Asia & Pacific (IDA & IBRD countries),TEA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,31942.1696251988,2018.0
East Asia & Pacific (IDA & IBRD countries),TEA,Individuals using the Internet (% of population),IT.NET.USER.ZS,51.168744661739396,2017.0
East Asia & Pacific (IDA & IBRD countries),TEA,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,2820.4811,2016.0
Euro area,EMU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,31429.3273996518,2018.0
Euro area,EMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.7784758771368,2018.0
Euro area,EMU,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,10710.0,2018.0
Europe & Central Asia,ECS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,52988.0601493388,2018.0
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.7532365709452,2018.0
Europe & Central Asia,ECS,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,4271.0,2017.0
Europe & Central Asia (excluding high income),ECA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,13063.303711543998,2018.0
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.1086018721316,2018.0
Europe & Central Asia (excluding high income),ECA,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,1017.23,2017.0
Europe & Central Asia (IDA & IBRD countries),TEC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,13335.321501543998,2018.0
Europe & Central Asia (IDA & IBRD countries),TEC,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.520921529994,2018.0
Europe & Central Asia (IDA & IBRD countries),TEC,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,745.0,2017.0
European Union,EUU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,31730.656769651803,2018.0
European Union,EUU,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.04980528453,2018.0
European Union,EUU,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,5781.0,2017.0
Fragile and conflict affected situations,FCS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,172.89059520983398,2018.0
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.2626941950514,2017.0
Fragile and conflict affected situations,FCS,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,NaN,1960.0
Heavily indebted poor countries (HIPC),HPC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,2232.62065745406,2017.0
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.3528385873458,2017.0
Heavily indebted poor countries (HIPC),HPC,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,NaN,1960.0
High income,HIC,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,162466.087542422,2018.0
