Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.11309712731664,2017.0
Caribbean small states,CSS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.5255453692497221,2017.0
Central Europe and the Baltics,CEB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.999221429936831,2017.0
Early-demographic dividend,EAR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.845786830812874,2017.0
East Asia & Pacific,EAS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.652695402869322,2017.0
East Asia & Pacific (excluding high income),EAP,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.617449088737005,2017.0
East Asia & Pacific (IDA & IBRD countries),TEA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.49440325355540604,2017.0
Euro area,EMU,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.879554955661878,2017.0
Europe & Central Asia,ECS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.1400237507385,2017.0
Europe & Central Asia (excluding high income),ECA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.5733111818576397,2017.0
Europe & Central Asia (IDA & IBRD countries),TEC,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.5216036508440398,2017.0
European Union,EUU,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.889779094558104,2017.0
Fragile and conflict affected situations,FCS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.21989904916319,2017.0
Heavily indebted poor countries (HIPC),HPC,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.43222595298480804,2017.0
High income,HIC,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.8947787723706271,2017.0
IBRD only,IBD,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.7452418322350259,2017.0
IDA & IBRD total,IBT,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.732957913955028,2017.0
IDA blend,IDB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.717903556982773,2017.0
IDA only,IDX,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.676210471157183,2017.0
IDA total,IDA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.6891178417219549,2017.0
Late-demographic dividend,LTE,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.780879768272687,2017.0
Latin America & Caribbean,LCN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.905615342853646,2017.0
