Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,58.6892586001699,2017.0
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,37.372365365403795,2018.0
Arab World,ARB,Population in largest city,EN.URB.LCTY,NaN,1960.0
Arab World,ARB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,29.0157691528897,2018.0
Arab World,ARB,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Caribbean small states,CSS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.0098301339144,2017.0
Caribbean small states,CSS,Population density (people per sq. km of land area),EN.POP.DNST,18.1770161788317,2018.0
Caribbean small states,CSS,Population in largest city,EN.URB.LCTY,NaN,1960.0
Caribbean small states,CSS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NaN,1960.0
Caribbean small states,CSS,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Central Europe and the Baltics,CEB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.6333281162193,2017.0
Central Europe and the Baltics,CEB,Population density (people per sq. km of land area),EN.POP.DNST,92.7664366303472,2018.0
Central Europe and the Baltics,CEB,Population in largest city,EN.URB.LCTY,NaN,1960.0
Central Europe and the Baltics,CEB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.9480351231389,2018.0
Central Europe and the Baltics,CEB,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Early-demographic dividend,EAR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,60.3592904453642,2017.0
Early-demographic dividend,EAR,Population density (people per sq. km of land area),EN.POP.DNST,98.13836364042,2018.0
Early-demographic dividend,EAR,Population in largest city,EN.URB.LCTY,NaN,1960.0
Early-demographic dividend,EAR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.5824846030774,2018.0
Early-demographic dividend,EAR,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
East Asia & Pacific,EAS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,39.7499575389656,2017.0
East Asia & Pacific,EAS,Population density (people per sq. km of land area),EN.POP.DNST,95.43160553419492,2018.0
East Asia & Pacific,EAS,Population in largest city,EN.URB.LCTY,NaN,1960.0
East Asia & Pacific,EAS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,11.6533794894219,2018.0
East Asia & Pacific,EAS,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
East Asia & Pacific (excluding high income),EAP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,42.5394679440716,2017.0
East Asia & Pacific (excluding high income),EAP,Population density (people per sq. km of land area),EN.POP.DNST,130.810431457567,2018.0
East Asia & Pacific (excluding high income),EAP,Population in largest city,EN.URB.LCTY,NaN,1960.0
East Asia & Pacific (excluding high income),EAP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,7.62038819041426,2018.0
East Asia & Pacific (excluding high income),EAP,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
East Asia & Pacific (IDA & IBRD countries),TEA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,42.6714052908125,2017.0
East Asia & Pacific (IDA & IBRD countries),TEA,Population density (people per sq. km of land area),EN.POP.DNST,130.18545299129102,2018.0
East Asia & Pacific (IDA & IBRD countries),TEA,Population in largest city,EN.URB.LCTY,NaN,1960.0
East Asia & Pacific (IDA & IBRD countries),TEA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,7.4597537009306505,2018.0
East Asia & Pacific (IDA & IBRD countries),TEA,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Euro area,EMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.5251111465232,2017.0
Euro area,EMU,Population density (people per sq. km of land area),EN.POP.DNST,127.582277673283,2018.0
Euro area,EMU,Population in largest city,EN.URB.LCTY,NaN,1960.0
Euro area,EMU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.696870828273802,2018.0
Euro area,EMU,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Europe & Central Asia,ECS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.081955970916802,2017.0
Europe & Central Asia,ECS,Population density (people per sq. km of land area),EN.POP.DNST,33.496885303403104,2018.0
Europe & Central Asia,ECS,Population in largest city,EN.URB.LCTY,NaN,1960.0
Europe & Central Asia,ECS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.8027375358229,2018.0
Europe & Central Asia,ECS,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Europe & Central Asia (excluding high income),ECA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.4339392656414,2017.0
Europe & Central Asia (excluding high income),ECA,Population density (people per sq. km of land area),EN.POP.DNST,18.4773754089394,2018.0
Europe & Central Asia (excluding high income),ECA,Population in largest city,EN.URB.LCTY,NaN,1960.0
Europe & Central Asia (excluding high income),ECA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.9579430164448,2018.0
Europe & Central Asia (excluding high income),ECA,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Europe & Central Asia (IDA & IBRD countries),TEC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.078692991213398,2017.0
Europe & Central Asia (IDA & IBRD countries),TEC,Population density (people per sq. km of land area),EN.POP.DNST,20.0172566615243,2018.0
Europe & Central Asia (IDA & IBRD countries),TEC,Population in largest city,EN.URB.LCTY,NaN,1960.0
Europe & Central Asia (IDA & IBRD countries),TEC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.2782154978907,2018.0
Europe & Central Asia (IDA & IBRD countries),TEC,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
European Union,EUU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.4660993416925,2017.0
European Union,EUU,Population density (people per sq. km of land area),EN.POP.DNST,105.406603575888,2018.0
European Union,EUU,Population in largest city,EN.URB.LCTY,NaN,1960.0
European Union,EUU,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.863338160792699,2018.0
European Union,EUU,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Fragile and conflict affected situations,FCS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,42.217315115591894,2017.0
Fragile and conflict affected situations,FCS,Population density (people per sq. km of land area),EN.POP.DNST,39.86931253533729,2018.0
Fragile and conflict affected situations,FCS,Population in largest city,EN.URB.LCTY,NaN,1960.0
Fragile and conflict affected situations,FCS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.209503636834,2018.0
Fragile and conflict affected situations,FCS,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
Heavily indebted poor countries (HIPC),HPC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,40.6850390030708,2017.0
Heavily indebted poor countries (HIPC),HPC,Population density (people per sq. km of land area),EN.POP.DNST,44.895781645412505,2018.0
Heavily indebted poor countries (HIPC),HPC,Population in largest city,EN.URB.LCTY,NaN,1960.0
Heavily indebted poor countries (HIPC),HPC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.184969977855104,2018.0
Heavily indebted poor countries (HIPC),HPC,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
High income,HIC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,14.6829308477401,2017.0
High income,HIC,Population density (people per sq. km of land area),EN.POP.DNST,34.4377658355898,2018.0
High income,HIC,Population in largest city,EN.URB.LCTY,NaN,1960.0
High income,HIC,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,19.4095513564386,2018.0
High income,HIC,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
IBRD only,IBD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.0453531755818,2017.0
IBRD only,IBD,Population density (people per sq. km of land area),EN.POP.DNST,68.7859051970979,2018.0
IBRD only,IBD,Population in largest city,EN.URB.LCTY,NaN,1960.0
IBRD only,IBD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,12.4669491552949,2018.0
IBRD only,IBD,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
IDA & IBRD total,IBT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,51.1682905129037,2017.0
IDA & IBRD total,IBT,Population density (people per sq. km of land area),EN.POP.DNST,68.7084518843392,2018.0
IDA & IBRD total,IBT,Population in largest city,EN.URB.LCTY,NaN,1960.0
IDA & IBRD total,IBT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.2309728132884,2018.0
IDA & IBRD total,IBT,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,NaN,1960.0
IDA blend,IDB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,56.796241418714,2017.0
