Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Arab World,ARB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0513115298740099,2017.0
Caribbean small states,CSS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04854730878588,2017.0
Central Europe and the Baltics,CEB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05744824981944,2017.0
Early-demographic dividend,EAR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.07069900300767,2017.0
East Asia & Pacific,EAS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.09888069774636,2017.0
East Asia & Pacific (excluding high income),EAP,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.10163415882673,2017.0
East Asia & Pacific (IDA & IBRD countries),TEA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.10226259851933,2017.0
Euro area,EMU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05532129171086,2017.0
Europe & Central Asia,ECS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05799929998327,2017.0
Europe & Central Asia (excluding high income),ECA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06046300424256,2017.0
Europe & Central Asia (IDA & IBRD countries),TEC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06019008963096,2017.0
European Union,EUU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05592954081505,2018.0
Fragile and conflict affected situations,FCS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04686099777178,2018.0
Heavily indebted poor countries (HIPC),HPC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0360360230205998,2017.0
High income,HIC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05129840259267,2017.0
IBRD only,IBD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.08574084362123,2017.0
IDA & IBRD total,IBT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.07055768389928,2017.0
IDA blend,IDB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06358222212301,2017.0
IDA only,IDX,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03877747023149,2017.0
IDA total,IDA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04732502248599,2017.0
Late-demographic dividend,LTE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.1020140147514799,2017.0
Latin America & Caribbean,LCN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04912978942941,2017.0
Latin America & Caribbean (excluding high income),LAC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04934222202904,2017.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0490297503491,2017.0
Least developed countries: UN classification,LDC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03767939407362,2017.0
Low & middle income,LMY,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0705974618273,2017.0
Low income,LIC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03739545354038,2017.0
Lower middle income,LMC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.07301398849867,2017.0
Middle East & North Africa,MEA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.054229424749,2017.0
Middle East & North Africa (excluding high income),MNA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05613888529895,2017.0
Middle East & North Africa (IDA & IBRD countries),TMN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05623028865044,2017.0
Middle income,MIC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.07826941306589,2017.0
North America,NAC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04753599205809,2017.0
Not classified,INX,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0
OECD members,OED,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0514354061406501,2017.0
Other small states,OSS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03406301111809,2017.0
Pacific island small states,PSS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06355568821736,2017.0
Post-demographic dividend,PST,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0527612165947902,2017.0
Pre-demographic dividend,PRE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04057365034804,2017.0
Small states,SST,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03801384799501,2017.0
South Asia,SAS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.09029512129022,2017.0
South Asia (IDA & IBRD),TSA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.09029512129022,2017.0
Sub-Saharan Africa,SSF,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03859071190183,2017.0
Sub-Saharan Africa (excluding high income),SSA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03858976962211,2017.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03859071190183,2017.0
Upper middle income,UMC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.08729835297043,2017.0
World,WLD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0688490283604,2017.0
Afghanistan,AFG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0
Albania,ALB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.085,2018.0
Algeria,DZA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0
American Samoa,ASM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0
Andorra,AND,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0
Angola,AGO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0
Antigua and Barbuda,ATG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0
Argentina,ARG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0
