Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,67.12265014648439,2017.0,AFG
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,174.73063659668,2016.0,AFG
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.422999999999999,2018.0,AFG
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.2,2019.0,AFG
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3.4204487800598105,2017.0,AFG
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.5,2015.0,AFG
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,66.0,2018.0,AFG
Afghanistan,AFG,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,66.0,2018.0,AFG
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,64.0,2018.0,AFG
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,66.02600000000001,2018.0,AFG
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.047,2018.0,AFG
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.486,2018.0,AFG
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,192.532,2018.0,AFG
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,237.554,2018.0,AFG
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,47.9,2018.0,AFG
Afghanistan,AFG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,44.5,2018.0,AFG
Afghanistan,AFG,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,51.1,2018.0,AFG
Afghanistan,AFG,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,37.1,2018.0,AFG
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,62.3,2018.0,AFG
Afghanistan,AFG,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,58.7,2018.0,AFG
Afghanistan,AFG,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,65.7,2018.0,AFG
Afghanistan,AFG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,37.7460320188898,2017.0,AFG
Afghanistan,AFG,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,29.0185446835284,2017.0,AFG
Afghanistan,AFG,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,NaN,1960.0,AFG
Afghanistan,AFG,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,NaN,1960.0,AFG
Afghanistan,AFG,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,NaN,1960.0,AFG
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,NaN,1960.0,ALB
Albania,ALB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,NaN,1960.0,ALB
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.898,2018.0,ALB
Albania,ALB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.0,2019.0,ALB
Albania,ALB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,190.114562988281,2017.0,ALB
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.9,2013.0,ALB
Albania,ALB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,99.0,2018.0,ALB
Albania,ALB,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,99.0,2018.0,ALB
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94.0,2018.0,ALB
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.167,2018.0,ALB
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.816,2018.0,ALB
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.458,2018.0,ALB
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,49.486000000000004,2018.0,ALB
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,93.315,2018.0,ALB
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.8,2018.0,ALB
Albania,ALB,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,7.2,2018.0,ALB
Albania,ALB,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,8.5,2018.0,ALB
Albania,ALB,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,6.5,2018.0,ALB
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.8,2018.0,ALB
Albania,ALB,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,8.2,2018.0,ALB
Albania,ALB,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,9.4,2018.0,ALB
Albania,ALB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NaN,1960.0,ALB
Albania,ALB,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,NaN,1960.0,ALB
Albania,ALB,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,7.1,2016.0,ALB
Albania,ALB,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,51.2,2016.0,ALB
Albania,ALB,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,28.7,2016.0,ALB
Algeria,DZA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,258.494293212891,2017.0,DZA
Algeria,DZA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,974.8076782226559,2017.0,DZA
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.716,2018.0,DZA
Algeria,DZA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.7,2019.0,DZA
Algeria,DZA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,170.489120483398,2017.0,DZA
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.9,2015.0,DZA
Algeria,DZA,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,91.0,2018.0,DZA
Algeria,DZA,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,91.0,2018.0,DZA
Algeria,DZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,80.0,2018.0,DZA
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.938,2018.0,DZA
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.494,2018.0,DZA
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.693,2018.0,DZA
Algeria,DZA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,80.672,2018.0,DZA
Algeria,DZA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,102.851,2018.0,DZA
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20.1,2018.0,DZA
Algeria,DZA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,18.7,2018.0,DZA
Algeria,DZA,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,21.5,2018.0,DZA
Algeria,DZA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,14.6,2018.0,DZA
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,23.5,2018.0,DZA
Algeria,DZA,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,22.0,2018.0,DZA
Algeria,DZA,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,24.9,2018.0,DZA
Algeria,DZA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,83.7406026903617,2017.0,DZA
Algeria,DZA,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,73.069806370441,2017.0,DZA
Algeria,DZA,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,0.7,2016.0,DZA
Algeria,DZA,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,30.4,2016.0,DZA
Algeria,DZA,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,15.6,2016.0,DZA
American Samoa,ASM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,NaN,1960.0,ASM
American Samoa,ASM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,NaN,1960.0,ASM
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.1,2017.0,ASM
American Samoa,ASM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,NaN,1960.0,ASM
American Samoa,ASM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,NaN,1960.0,ASM
American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,NaN,1960.0,ASM
American Samoa,ASM,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,NaN,1960.0,ASM
American Samoa,ASM,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,NaN,1960.0,ASM
American Samoa,ASM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,NaN,1960.0,ASM
American Samoa,ASM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,NaN,1960.0,ASM
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,NaN,1960.0,ASM
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,NaN,1960.0,ASM
American Samoa,ASM,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,NaN,1960.0,ASM
American Samoa,ASM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NaN,1960.0,ASM
American Samoa,ASM,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,NaN,1960.0,ASM
American Samoa,ASM,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,NaN,1960.0,ASM
American Samoa,ASM,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,NaN,1960.0,ASM
American Samoa,ASM,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,NaN,1960.0,ASM
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4040.78662109375,2017.0,AND
Andorra,AND,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,5237.24169921875,2017.0,AND
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.4,2018.0,AND
Andorra,AND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.7,2019.0,AND
Andorra,AND,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,1981.2783203125,2017.0,AND
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.5,2009.0,AND
Andorra,AND,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,99.0,2018.0,AND
