Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Afghanistan,AFG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.39833171155123,2017.0,AFG
Albania,ALB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.6800942459492829,2017.0,ALB
Algeria,DZA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.63116371889178,2017.0,DZA
American Samoa,ASM,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,ASM
Andorra,AND,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,AND
Angola,AGO,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.951561997151332,2017.0,AGO
Antigua and Barbuda,ATG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,ATG
Argentina,ARG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.523695552931979,2017.0,ARG
Armenia,ARM,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,3.5670893060846502,2017.0,ARM
Aruba,ABW,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,ABW
Australia,AUS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.4471804003606121,2017.0,AUS
Austria,AUT,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.461088216495409,2017.0,AUT
Azerbaijan,AZE,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.62962871691978,2017.0,AZE
"Bahamas, The",BHS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.455692972302981,2017.0,BHS
Bahrain,BHR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.1906234399013997,2017.0,BHR
Bangladesh,BGD,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.328474565307759,2017.0,BGD
Barbados,BRB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.6433226327335421,2017.0,BRB
Belarus,BLR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,3.0624319226322996,2017.0,BLR
Belgium,BEL,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.635247711867519,2017.0,BEL
Belize,BLZ,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.1505229126638101,2017.0,BLZ
Benin,BEN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.263317848780948,2017.0,BEN
Bermuda,BMU,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,BMU
Bhutan,BTN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.54944868172258,2000.0,BTN
Bolivia,BOL,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.36477125568759,2017.0,BOL
Bosnia and Herzegovina,BIH,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.8211161207488579,2017.0,BIH
Botswana,BWA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.864687876499513,2017.0,BWA
Brazil,BRA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.6996654381979239,2017.0,BRA
British Virgin Islands,VGB,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,VGB
Brunei Darussalam,BRN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,3.76701040636625,2017.0,BRN
Bulgaria,BGR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.923332981871102,2017.0,BGR
Burkina Faso,BFA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.156565510639125,2017.0,BFA
Burundi,BDI,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.665781821149526,2017.0,BDI
Cabo Verde,CPV,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.38157307315137395,2017.0,CPV
Cambodia,KHM,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.14383854628441,2017.0,KHM
Cameroon,CMR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.223848899008517,2017.0,CMR
Canada,CAN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.357811232907183,2017.0,CAN
Cayman Islands,CYM,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,CYM
Central African Republic,CAF,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.435969678308874,2017.0,CAF
Chad,TCD,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.6216192791489711,2017.0,TCD
Chile,CHL,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.3242474041494499,2017.0,CHL
China,CHN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.342265981416898,2017.0,CHN
Colombia,COL,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.83756028229205,2017.0,COL
Comoros,COM,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NaN,1960.0,COM
"Congo, Dem. Rep.",COD,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.479936866096074,2017.0,COD
